"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"16359","1 Макс - Вичо Грънчаров 10","ХЛЯБ СТАРА ЗАГОРА СЛАВЯНКА 650ГР","000001","1","0.84",""
"16359","1 Макс - Вичо Грънчаров 10","ХЛЯБ БЪЛГАРИЯ БЯЛ-ЯНА РЕСЕН 650ГР","000004","1","0.86",""
"16359","1 Макс - Вичо Грънчаров 10","ХЛЯБ РЪЖЕНО-ПШЕНИЧЕН  550ГР ЯНА РЕСЕН","000008","3","0.86",""
"16359","1 Макс - Вичо Грънчаров 10","ОХЛАДЕНО ПИЛЕ  ПИМЕНС /ДО 1.300КГ","000285","15","3.83",""
"16359","1 Макс - Вичо Грънчаров 10","ПОРТОКАЛИ - ГЪРЦИЯ","000300","51","1.99",""
"16359","1 Макс - Вичо Грънчаров 10","БАНАНИ  ДОЛЕ ЕКВАДОР КЛАС 1","000304","52","1.97",""
"16359","1 Макс - Вичо Грънчаров 10","ЧЕСЪН - БЪЛГАРИЯ","000309","59","4.49",""
"16359","1 Макс - Вичо Грънчаров 10","ЛУК КРОМИД   - БЪЛГАРИЯ","000312","55","0.99",""
"16359","1 Макс - Вичо Грънчаров 10","ДОМАТИ РЪГБИ -ГЪРЦИЯ","000315","54","4.39",""
"16359","1 Макс - Вичо Грънчаров 10","МОРКОВИ - БЪЛГАРИЯ","000317","56","1.49",""
"16359","1 Макс - Вичо Грънчаров 10","ЛИМОНИ  - ГЪРЦИЯ","000318","50","3.29",""
"16359","1 Макс - Вичо Грънчаров 10","КРАСТАВИЦА  БЪЛГАРИЯ","000330","58","3.89",""
"16359","1 Макс - Вичо Грънчаров 10","КАРТОФИ БЪЛГАРИЯ","000333","61","0.86",""
"16359","1 Макс - Вичо Грънчаров 10","ЯБЪЛКИ ПЪСТРИ  - МАКЕДОНИЯ","000334","53","1.69",""
"16359","1 Макс - Вичо Грънчаров 10","ГЪБА ПЕЧУРКА-  БЪЛГАРИЯ","000336","60","4.69",""
"16359","1 Макс - Вичо Грънчаров 10","ЯБЪЛКИ ЧЕРВЕНИ  - ГЪРЦИЯ","000339","53","1.99",""
"16359","1 Макс - Вичо Грънчаров 10","КАРТОФИ  МИТИ  ФРАНЦИЯ","000357","61","1.29",""
"16359","1 Макс - Вичо Грънчаров 10","ЯБЪЛКИ ГРЕНИ СМИТ - ГЪРЦИЯ","000367","53","1.99",""
"16359","1 Макс - Вичо Грънчаров 10","КАШКАВАЛ ЕЛЕНА ВАКУУМ","000448","11","13.70",""
"16359","1 Макс - Вичо Грънчаров 10","ДОМАТ РОЗА СРЕДЕН ТУРЦИЯ","000487","54","3.69",""
"16359","1 Макс - Вичо Грънчаров 10","ДОМАТ ЧЕРВЕН ТУРЦИЯ","000493","54","3.59",""
"16359","1 Макс - Вичо Грънчаров 10","КАШКАВАЛ ЕЛЕНА ПИТА","000500","10","12.78",""
"16359","1 Макс - Вичо Грънчаров 10","СВИНСКИ  БУТ С КОСТ","000507","19","5.11",""
"16359","1 Макс - Вичо Грънчаров 10","СВИНСКИ ШОЛ","000512","20","6.44",""
