Населено място;Търговски обект;Наименование на продукта;Код на продукта;Категория;Цена на дребно;Цена в промоция
27382;Маркет Диана ул.Търговска 59а;Хляб бял ХХИ 650гр;1925;1;0.92;
27382;Маркет Диана ул.Търговска 59а;Хляб ръжен ХХИ 500гр;1943;3;0.72;
27382;Маркет Диана ул.Търговска 59а;Хляб типов Дария 650гр;2074;4;0.92;
27382;Маркет Диана ул.Търговска 59а;Кори Фамилия 500гр;18202;5;1.73;
27382;Маркет Диана ул.Търговска 59а;Пр.мляко Саяна 3.2% 1л;7730;6;1.96;1.26
27382;Маркет Диана ул.Търговска 59а;Кис.мляко Сакар 3.6% 400гр;6673;7;0.65;
27382;Маркет Диана ул.Търговска 59а;Сирене кр.Мокрен;6448;8;6.39;
27382;Маркет Диана ул.Търговска 59а;Сирене кр.Саяна 400гр;6291;9;3.37;
27382;Маркет Диана ул.Търговска 59а;Сирене кр.Боженци 400гр;9537;9;3.99;
27382;Маркет Диана ул.Търговска 59а;Кашкавал Боженци 220гр;6124;11;2.84;
27382;Маркет Диана ул.Търговска 59а;Кашкавал Верея 400гр;6065;11;6.54;
27382;Маркет Диана ул.Търговска 59а;Кашкавал Милки Дрийм 250гр;6106;11;2.63;2.55
27382;Маркет Диана ул.Търговска 59а;Кашкавал Милки Дрийм 400гр;6053;11;4.19;
27382;Маркет Диана ул.Търговска 59а;Кашкавал Саяна 200гр;6146;11;2.43;
27382;Маркет Диана ул.Търговска 59а;Кр.масло Бор Чвор 125гр;6287;12;2.19;
27382;Маркет Диана ул.Търговска 59а;Кр.масло Бор Чвор 250гр;6878;12;3.44;
27382;Маркет Диана ул.Търговска 59а;Кр.масло Саяня 125ГР;6152;12;1.83;1.38
27382;Маркет Диана ул.Търговска 59а;Кр.масло Саяна 250гр;6850;12;2.69;
27382;Маркет Диана ул.Търговска 59а;Извара Ситос 500гр;5300;14;1.76;
27382;Маркет Диана ул.Търговска 59а;Пиле охл.Лудогорско;18385;15;4.52;
27382;Маркет Диана ул.Търговска 59а;Пилешко филе охл.Лудогорско;19644;16;8.64;
27382;Маркет Диана ул.Търговска 59а;Пил.бут охл.Лудогорско;19593;17;3.37;
27382;Маркет Диана ул.Търговска 59а;Свинско месо бут;801;19;5.41;
27382;Маркет Диана ул.Търговска 59а;Свинсо месо врат;804;21;8.48;
