"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","10 Метро София 1 - 1784, гр. София, бул. Цариградско шосе, 7-11 км","ВИЙНЕРВУРСТ МИКРОАРТ","15894001001","27","9.68","0"
"10135","14 Метро Варна - 9023, гр.Варна, кв. Владиславово, ул. Западна обиколна","ВИЙНЕРВУРСТ МИКРОАРТ","15894001001","27","9.68","0"
"10447","21 Mетро Велико Търново - 5000, гр. Велико Търново, бул. България №78","ВИЙНЕРВУРСТ МИКРОАРТ","15894001001","27","9.68","0"
"04279","20 Метро Благоевград - 2700, гр.Благоевград, ул. Зелендолско шосе №17","ВИЙНЕРВУРСТ МИКРОАРТ","15894001001","27","9.68","0"
"07079","15 Метро Бургас - 8008, гр.Бургас, бул. Стефан Стамболов №103","ВИЙНЕРВУРСТ МИКРОАРТ","15894001001","27","9.68","0"
"56784","13 Метро Пловдив 1 - 4023, гр.Пловдив, бул.Санкт Петербург №135","ВИЙНЕРВУРСТ МИКРОАРТ","15894001001","27","9.68","0"
"68134","12 Метро София 2 - 1331, гр. София, бул. Европа №182","ВИЙНЕРВУРСТ МИКРОАРТ","15894001001","27","9.68","0"
"63427","11 Метро Русе - 7000, гр.Русе, бул. Трети март №60","ВИЙНЕРВУРСТ МИКРОАРТ","15894001001","27","9.68","0"
"56784","25 Метро Пловдив 2 - 4205, с. Костиево, обл. Пловдив, общ. Марица, ул. Костиевска №1","ВИЙНЕРВУРСТ МИКРОАРТ","15894001001","27","9.68","0"
"10135","14 Метро Варна - 9023, гр.Варна, кв. Владиславово, ул. Западна обиколна","ШУНКА OT СВ.БУТ ГАСТРО БОНИ","48157001001","27","10.88","0"
"07079","15 Метро Бургас - 8008, гр.Бургас, бул. Стефан Стамболов №103","ШУНКА OT СВ.БУТ ГАСТРО БОНИ","48157001001","27","10.88","0"
"68134","10 Метро София 1 - 1784, гр. София, бул. Цариградско шосе, 7-11 км","ШУНКА OT СВ.БУТ ГАСТРО БОНИ","48157001001","27","10.88","0"
"56722","22 Метро Плевен - 5800, гр. Плевен, ул.Метро №11","ШУНКА OT СВ.БУТ ГАСТРО БОНИ","48157001001","27","10.88","0"
"56784","13 Метро Пловдив 1 - 4023, гр.Пловдив, бул.Санкт Петербург №135","ШУНКА OT СВ.БУТ ГАСТРО БОНИ","48157001001","27","10.88","0"
