"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб заводски 650гр","3700","1","0.95",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб залцбург","3701","1","0.95",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб карина 500гр","3702","1","0.9",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб карина 650гр","3703","1","0.95",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб карина типов 0.650","3704","1","0.95",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб тостерен -хлебозавод ад","3705","1","1.15",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб тракия българия 650гр","3706","1","0.95",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб х-ли бял 650гр","3707","1","0.95",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб яневи бял 650гр","3708","1","0.95",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб яневи ст.загора 650гр","3709","1","0.95",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Хляб х-ли типов 500гр","3710","4","0.9",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кори одрински","3711","5","1.712827802007332",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кори фамилия 500гр","3712","5","2.121861306964307",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Прясно мляко булгареа 3.7","3049","6","1.5850048317082774",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Прясно мляко мегле 3.2","3001","6","1.6105694257680883",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Прясно мляко родопея 3 1л","3002","6","2.1985550891437393",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Саяна прясно мляко 3.2%","3003","6","1.4827464554690335",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Прясно мляко Тертер 3.6 %","3050","6","1.4827464554690335",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко бачо илия 3.6","3004","7","0.6135502574354622",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко берекет 3.6","3005","7","0.8180670099139496",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко боженци 2.2","3006","7","0.8180670099139496",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко герзовица","3007","7","1.022583762392437",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко йоанна 3.6","3008","7","0.7158086336747058",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко мечи чал","3009","7","0.6391148514952731",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко млечен дар 3.6","3010","7","0.9203253861531934",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко нипал 3.6%","3011","7","0.690244039614895",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко родопея 2","3012","7","0.7413732277345167",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко родопея 3.6","3013","7","0.7925024158541387",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко родопски чан 2","3014","7","0.4601626930765967",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кисело мляко саяна 3.6","3015","7","0.690244039614895",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене бачо илия","3016","8","7.362603089225547",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене герзовица краве","3017","8","13.753751604178277",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене елит кг","3018","8","9.842368713027206",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене забърдо кг","3019","8","9.100995485292689",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене краве еленка","3021","8","6.697923643670462",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене краве родопски чан","3022","8","4.959531247603319",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене краве сакар","3023","8","10.839387881359832",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене краве саяна кг","3024","8","6.9",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене натрошено кг","3025","8","4.0",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене краве хрисиада вакуум","3026","8","9.97",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене родопея вакуум","3027","8","8.436316039737605",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Сирене родопея традиционно вакуум","3028","8","10.992775445718697",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Бяло саламурено сирене домлян 500гр","3029","9","5.4708231287995375",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Краве сирене домлян 400гр","3030","9","4.499368554526723",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Саяна краве сирене 400гр","3031","9","3.374526415895042",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал бачо илия кг","3032","10","11.504067326914916",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал мечи чал кг","3033","10","11.555196515034538",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал набор тост","3034","10","7.664265299131316",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал пенчев","3035","10","13.089072158623194",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал родопея ","3036","10","13.804880792297899",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал селски братя даскалови","3037","10","12.168746772470001",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал хрисиада","3051","10","12.73116784178584",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал сакар","3052","10","14.571818614092226",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал рожен","3053","10","10.992775445718697",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал тост кг","3038","10","7.976153346661008",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал Смолян","3055","10","7.669378217943278",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал домлян 230гр","3039","11","3.374526415895042",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Кашкавал домлян 420гр","3040","11","6.084373386235001",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Краве масло мечи чал 250гр.","3041","12","4.985095841663131",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Краве масло мечи чал 500гр.","3042","12","9.919062495206639",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Краве масло саяна 0.250","3043","12","2.653604863408374",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Краве масло саяна 0.125гр.","3056","12","1.303794297050357",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Масло Маркенбутер 250гр","3054","12","3.3233972277754202",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Масло родопея пакет 125гр","3045","12","2.6587177822203363",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Извара родопея кг","3046","13","4.806143683244454",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Пилешко филе, охладено, 1кг.","1100","16","6.4",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Пилешки бут, цял, охладен 1 кг.","1101","17","2.3",""
"77195","НОЛЕВ кв.Болярово, ул.Индже войвода 10","Пилешка пържола кг","1103","17","4.9",""
