"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","АРИАНА 2л.+300мл.","5","74","1.59",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ШУМЕНСКО 2л.","22","74","1.69",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ДОБРОТИЦА СИРЕНЕ КУТИЯ 800гр.","46","9","9.40",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","КАРНОБАТСКА ГРОЗДОВА 700мл.","102","77","7.18",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ГРОЗДЕН РАКИЯ 700мл.","106","77","6.28",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ДЕГУСТО БЯЛ БОБ 400гр.","131","46","1.22",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ПАЛМОЛИВ ШАМПОАН 350мл.","160","82","2.25",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","МЕЛИСА МАКАРОНИ МИНЬОНИ ЖИВОТНИ 500гр.","170","36","1.84",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","САПУН ПАЛМОЛИВ","177","83","0.97",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","САПУН ДАВ","179","83","1.19",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","САПУН ТЕО 70гр.","181","83","0.45",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","САПУН ТЕО БЕБЕ","184","83","0.76",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ШАМПОАН ТЕО 350мл.","205","82","1.84",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ЕЛКО ДЕЛИКАТЕСЕН ШПЕК","213","28","13.29",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ТЪРГОВИЩЕ СОВИНЬОН БЛАН 750мл.","237","75","4.70",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ЯМБОЛСКА ГРОЗДОВА 700мл.","261","77","6.91",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","КАЙЛЪШКА ГРОЗДОВА РАКИЯ 700мл.","264","77","8.13",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","КАМЕНИЦА 2л.","344","74","1.80",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","БРАШНО ЕКСТРА СОФИЯ 1кг.","359","41","1.22",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ОЛИНЕЗА ДОМАТИ НА КУБЧЕТА 500гр.","363","48","1.99",""
"10135","СУПЕРМАРКЕТ НАБЛИЗО - гр. Варна","ПЪЛНОЗЪРНЕСТ ХЛЯБ 100% РЪЖ ДЕЛБА ЛЕНЕНО СЕМЕ 500гр.","383","3","2.50",""
