"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*АЦЦ 200 ПРАХЧЕТА 200МГ. Х 20","95","99","7,72",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ВОЛТАРЕН РЕТ. ТАБЛ. 100МГ. Х 10","238","95","1,51",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ВОЛТАРЕН СУП. 100МГ. Х 5","239","95","3,78",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ВОЛТАРЕН СУП.   50МГ. Х 10","240","95","2,19",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ВОЛТАРЕН ТАБЛ.  25МГ. Х 30","241","95","1,69",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ВОЛТАРЕН ТАБЛ.   50МГ. Х 20","242","95","2,10",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*ДИКЛОФЕНАК ДУО КАПС 75МГ Х 30 BMS","359","95","6,09",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","АЛЕРГОЗАН ТАБЛ. 25МГ. Х 20","1852","91","4,39",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","АЛЕРГОЗАН КРЕМ 18ГР.","1853","91","4,68",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","АЛЕРГОЗАН УНГВ 18ГР.","1854","91","4,73",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","АЛКА-ЗЕЛЦЕР ТАБЛ. ЕФ. Х 10","1856","96","3,16",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","АНАЛГИН АМП. 500МГ/МЛ 2МЛ. Х 10 - СОФАРМА","1879","87","7,46",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","РУВЕКСИН ТАБЛ. 325МГ. Х 100","1911","96","3,17",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","АСПИРИН + ВИТАМИН Ц  БАЙЕР ЕФ. Х 10","1917","96","4,80",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","АСПИРИН + ВИТАМИН Ц  БАЙЕР ЕФ. Х 20","1918","96","7,31",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*БЕНАЛГИН ТАБЛ. Х 20 - АКТАВИС","1956","87","3,25",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","БЕТАДИН ПЕСАРИ 200МГ. Х 14","1965","92","12,78",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","БИЗАЛАКС ТАБЛ. 5МГ. Х 30 - АКТАВИС ","1977","88","2,55",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","БУСКОЛИЗИН АМП 2% 1МЛ. Х 10 - СОФАРМА","2010","87","7,66",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*ВОЛТАРЕН ЕМУЛГЕЛ 1,16% 50ГР","2073","95","6,85",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*ЙОДАСЕПТ УНГВ 90ГР ТФ","2299","92","5,08",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","НИЗОРАЛ КРЕМ 15ГР","2562","90","2,27",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ОТИПАКС КАПКИ ЗА УШИ 4ГР/100ГР+1ГР/100ГР Х 15МЛ","2626","101","4,55",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ТЕМПАЛГИН ТАБЛ Х 20 СФ","2889","87","2,76",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ФАСТУМ ГЕЛ 50ГР","2973","94","5,06",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ТАЛЦИД ТАБЛ 500МГ Х 20","3211","86","4,49",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","* УПСАРИН ЕФФ ТАБЛ X 20","3625","96","4,55",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*АЦЕТИЗАЛ ТАБЛ. 500МГ. Х 20 ТЕВА","7538","96","1,48",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*ДИКЛАК ГЕЛ 5% 50ГР.","8035","95","7,61",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","БИЗАКОДИЛ СУП. 10МГ. Х 6","8051","88","3,29",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ПРОАЛГИН ТАБЛ 500МГ Х 20 ","8074","87","1,32",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*ЛОПЕДИУМ КАПС 2МГ Х 10","8295","89","3,83",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","БИЗАКОДИЛ СУП.   5МГ. Х 6","8493","88","2,53",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","НУРОФЕН ТАБЛ 200МГ Х 12","8504","94","3,93",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","КСИЗАЛ ТАБЛ 5МГ Х 7","23890","100","4,71",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*МУКОНАЗАЛ  ПЛЮС СПРЕЙ 10 МЛ.","25187","97","7,25",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*ДИКЛОФЕНАК ТАБЛ. 50МГ Х 30 ЧФ","26698","95","1,63",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","АЛМИРАЛ ТАБЛ. 50 МГ X 20","26699","95","2,28",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","НУРОФЕН ФОРТЕ ТАБЛ. 400МГ. Х 12","30039","94","5,06",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ФЛЕКСИСТАД ТАБЛ. 600МГ Х 20","36650","94","6,60",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ДУОПЛАВИН ТАБЛ. 75МГ/100МГ Х 28","43526","96","13,40",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","АЛМИРАЛ СОЛ ИНЖ 75МГ/3МЛ X 5","70048","95","2,61",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","СТРЕПСИЛС ИНТЕНЗИВ СПРЕЙ 8,75МГ 15МЛ","71434","98","8,84",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*КЕТОНАЛ ИНТЕНЗИВ САШЕТА 50МГ X 12 ","82849","94","7,82",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ЕНТЕРОЛ 250МГ САШЕ X 20","83555","89","14,06",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","ЕНТЕРОЛ 250МГ КАПС X 12","83556","89","7,56",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*ХЕКСОРАЛЕТЕН N ТАБЛ. Х 16","94712","98","5,68",""
"68134","НОВЕ 5 СОФИЯ, БУЛ.СТАМБОЛИЙСКИ 100","*ОЛИНТ ДУО 1МГ/МЛ + 50МГ/МЛ СПРЕЙ 10МЛ","98114","97","7,10",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","*АЦЦ 200 ПРАХЧЕТА 200МГ. Х 20","95","99","7,72",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","ВОЛТАРЕН РЕТ. ТАБЛ. 100МГ. Х 10","238","95","1,51",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","ВОЛТАРЕН СУП. 100МГ. Х 5","239","95","3,78",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","ВОЛТАРЕН СУП.   50МГ. Х 10","240","95","2,19",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","ВОЛТАРЕН ТАБЛ.  25МГ. Х 30","241","95","1,69",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","ВОЛТАРЕН ТАБЛ.   50МГ. Х 20","242","95","2,11",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","*ДИКЛОФЕНАК ДУО КАПС 75МГ Х 30 BMS","359","95","6,09",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","НАКЛОФЕН АМП. 75МГ/3МЛ Х 5/КУТИЯ/","1001","95","2,05",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","НАКЛОФЕН ДУО КАПС. 75МГ Х 20","1060","95","2,56",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","АЛЕРГОЗАН ТАБЛ. 25МГ. Х 20","1852","91","4,39",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","АЛЕРГОЗАН КРЕМ 18ГР.","1853","91","4,68",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","АЛЕРГОЗАН УНГВ 18ГР.","1854","91","4,73",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","АЛКА-ЗЕЛЦЕР ТАБЛ. ЕФ. Х 10","1856","96","3,16",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","АНАЛГИН АМП. 500МГ/МЛ 2МЛ. Х 10 - СОФАРМА","1879","87","7,46",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","РУВЕКСИН ТАБЛ. 325МГ. Х 100","1911","96","3,17",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","АСПИРИН + ВИТАМИН Ц  БАЙЕР ЕФ. Х 10","1917","96","4,80",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","АСПИРИН + ВИТАМИН Ц  БАЙЕР ЕФ. Х 20","1918","96","7,31",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","*БЕНАЛГИН ТАБЛ. Х 20 - АКТАВИС","1956","87","3,25",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","БЕТАДИН ПЕСАРИ 200МГ. Х 14","1965","92","12,78",""
"68134","НОВЕ 6 СОФИЯ, БУЛ.ГОЦЕ ДЕЛЧЕВ 16 ","БИЗАЛАКС ТАБЛ. 5МГ. Х 30 - АКТАВИС ","1977","88","2,55",""
