"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","Б-ТИ РОДЕН КРАЙ 190ГР ОБИКН.","60644","66","1.02",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","ВИНО ЕТНО 750МЛ ШАРДОНЕ","91244","75","3.94",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","ВИНО ТЪРГОВИЩЕ 750МЛ МУСКАТ","91332","76","3.57",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","ВИНО САЙКЪЛ 750МЛ СОВИНЬОН БЛАН","7502","75","5.62",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","ВИНО ТЪРГОВИЩЕ 750МЛ ТРАМИНЕР","91310","76","3.57",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","ВИНО ШАТО 750МЛ ШАРДОНЕ","4636","75","4.29",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","БАНАН/ЕКВАДОР ОПС/","1100","52","1.78",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","БЕЛЛА БАНИЧКИ СЪС СИРЕНЕ 8БР* 60ГР","18664","68","2.04",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","БИРА БАЛКАНСКО 2.5Л","17158","74","1.32",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","БИРА БОЛЯРКА 2Л СВЕТЛО","90812","74","1.35",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","БИРА ЗАГОРКА 2Л СВЕТЛО","3185","74","1.32",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","БИРА ПИРИН 2.3л","14000","74","1.61",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","БОБ КРИНА 400ГР БЯЛ КОНС","21508","46","0.95",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","БОБ КРИНА 400ГР ЧЕРВЕН КОНС","21530","46","1.07",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","БОБ КРЪСТЕВ НАРОДЕН 1КГ","795","33","2.91",""
"57649","Супермаркет ""Пламко"", Център, гр. Попово, ул. Славянска №2","БОЧКО ПРЕПАРАТ ЗА БЕБЕШКИ СЪДОВЕ","110440","79","1.74",""
