"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","НИВЕА HC ШАМПОАН П/В ПЪРХОТ НК 250МЛ L0S*","000708","82","2.30",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","КРИСПА САПУН ДОКТОРСКИ 100ГР KZ","000765","83","1.27",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АЛЕРГОЗАН КРЕМ 1% 18Г СОФ 1 S4\ST3\F2","001033","91","4.12",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АЛЕРГОЗАН УНГВ 1% 18Г СОФ 2 S4\ST3\F2","001034","91","4.12",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АЛМАГЕЛ СУСП 170МЛ 2 S-4,8\ST3\V-10\F-2","001036","86","2.63",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АЛМАГЕЛ А СУСП 170МЛ S4,8\ST3\F-2\V-8","001037","86","3.98",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АНАЛГИН АМП 50% 2МЛ 10БР КУТИЯ 1 ST3\F2\S1,8","001059","96","7.14",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","БЕНАЛГИН ТБ 20БР KZ 1 ST4\F4\S1,8\D","001121","96","2.86",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","БИЗАЛАКС ТБ 5МГ 30БР 1 S4,8\ST3\F2\D","001138","88","2.33",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","БРАУНОВИДОН УНГВ 20Г 3 F2\S-0\ST*\V-","001161","92","2.18",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","БУСКОЛИЗИН АМП 2% 1МЛ 10БР КУТИЯ ST3\F2\S1,8","001173","87","7.31",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","ЕФИЗОЛ ТБ 20БР 1 ST4\F3\S2,8","001400","98","2.56",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","ИМОДИУМ КАПС 2МГ 6БР 1 F5ST4S2,8D","001424","89","3.28",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","ЙОДАСЕПТ УНГВ 90Г 1 ST4\F3\S2,8\D","001438","92","4.26",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","МОТИЛИУМ ТБ 10МГ 30БР ОТПАДА","001603","87","2.07",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","БИЗАКОДИЛ СУПОЗ 10МГ 6БР СОФ 1 #427 S4#\ST3\F2\D","001860","88","3.20",""
