"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","краве сирене Борино","152","8","10.22",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","краве кашкавал Борино","223","11","14.78",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","прясно пиле насипно","54","15","4.34",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","селско пиле","54","15","8.29",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","прясно пилешко филе","119","16","7.66",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","пресен цял бут","105","17","4.34",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","свински бут без кост","7","19","6.23",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","свински врат без кост","4","21","9.20",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","свинско месо за готвене","13","22","6.23",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","телешки шол","17","23","16.61",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","телешко месо","16","24","12.27",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","Кренвирш от пилешко месо","45","26","6.90",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","кренвирш РИЦ","56","26","7.41",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","камчия РИЦ","365","27","7.41",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","Македонка РИЦ","70","27","7.41",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","Пилешка шункова над РИЦ","49","27","7.15",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","Бургас РИЦ","74","28","12.68",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","Шпек РИЦ","44","28","12.68",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","Пилешки Шпек РИЦ","44","28","12.68",""
"68850","Месарски магазини РИЦ Стара Загора ул. Оборище 15","Деликатесен РИЦ","82","28","14.27",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","краве сирене Борино","152","8","10.22",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","краве кашкавал Борино","223","11","14.78",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","прясно пиле насипно","54","15","4.34",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","селско пиле","54","15","8.29",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","прясно пилешко филе","119","16","7.66",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","пресен цял бут","105","17","4.34",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","свински бут без кост","7","19","6.23",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","свински врат без кост","4","21","9.20",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","свинско месо за готвене","13","22","6.23",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","телешки шол","17","23","16.61",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","телешко месо","16","24","12.27",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","Кренвирш от пилешко месо","45","26","6.90",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","кренвирш РИЦ","56","26","7.41",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","камчия РИЦ","365","27","7.41",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","Македонка РИЦ","70","27","7.41",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","Пилешка шункова над РИЦ","49","27","7.15",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","Бургас РИЦ","74","28","12.68",""
"68850","Месарски магазини РИЦ Стара Загора ул. Столетов 100","Шпек РИЦ","44","28","12.68",""
