"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"63427","РУСЕ ТАБАК ООД / 30.РТМ 5 СРЕДНА КУЛА","ЕССЕ СС БЛУ/7.00","50602","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 31.РТМ 9 С.БАСАРБОВО","ЕССЕ СС БЛУ/7.00","50602","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 29.РТМ 2 НИКОЛАЕВСКА","ЕССЕ СС БЛУ/7.00","50602","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 27.РТМ 22 САН СТЕФАН","ЕССЕ СС БЛУ/7.00","50602","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 26.РТМ 14 ЗДР.АЛБЕНА","ЕССЕ СС БЛУ/7.00","50602","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 25.РТМ 17 БОЛНИЦАТА","ЕССЕ СС БЛУ/7.00","50602","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 24.РТМ 21 ПЕЧ.ПЛАТКИ","ЕССЕ СС БЛУ/7.00","50602","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 23.РТМ 10 ГОЦЕ ДЕЛЧЕ","ЕССЕ СС БЛУ/7.00","50602","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 22.РТМ 4 С.ИВАНОВО","ЕССЕ СС БЛУ/7.00","50602","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 21.РТМ 8 ДРУЖБА","ЕССЕ СС БЛУ/7.00","50602","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 30.РТМ 5 СРЕДНА КУЛА","ЕССЕ СС РЕД/7.00","50601","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 31.РТМ 9 С.БАСАРБОВО","ЕССЕ СС РЕД/7.00","50601","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 29.РТМ 2 НИКОЛАЕВСКА","ЕССЕ СС РЕД/7.00","50601","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 27.РТМ 22 САН СТЕФАН","ЕССЕ СС РЕД/7.00","50601","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 26.РТМ 14 ЗДР.АЛБЕНА","ЕССЕ СС РЕД/7.00","50601","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 25.РТМ 17 БОЛНИЦАТА","ЕССЕ СС РЕД/7.00","50601","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 24.РТМ 21 ПЕЧ.ПЛАТКИ","ЕССЕ СС РЕД/7.00","50601","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 23.РТМ 10 ГОЦЕ ДЕЛЧЕ","ЕССЕ СС РЕД/7.00","50601","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 22.РТМ 4 С.ИВАНОВО","ЕССЕ СС РЕД/7.00","50601","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 21.РТМ 8 ДРУЖБА","ЕССЕ СС РЕД/7.00","50601","78","3.58",""
"63427","РУСЕ ТАБАК ООД / 30.РТМ 5 СРЕДНА КУЛА","КОРСЕТ SS МАРИН HOLLOW FILTER/6.70","50447","78","3.43",""
"63427","РУСЕ ТАБАК ООД / 31.РТМ 9 С.БАСАРБОВО","КОРСЕТ SS МАРИН HOLLOW FILTER/6.70","50447","78","3.43",""
"63427","РУСЕ ТАБАК ООД / 29.РТМ 2 НИКОЛАЕВСКА","КОРСЕТ SS МАРИН HOLLOW FILTER/6.70","50447","78","3.43",""
"63427","РУСЕ ТАБАК ООД / 27.РТМ 22 САН СТЕФАН","КОРСЕТ SS МАРИН HOLLOW FILTER/6.70","50447","78","3.43",""
"63427","РУСЕ ТАБАК ООД / 26.РТМ 14 ЗДР.АЛБЕНА","КОРСЕТ SS МАРИН HOLLOW FILTER/6.70","50447","78","3.43",""
"63427","РУСЕ ТАБАК ООД / 25.РТМ 17 БОЛНИЦАТА","КОРСЕТ SS МАРИН HOLLOW FILTER/6.70","50447","78","3.43",""
"63427","РУСЕ ТАБАК ООД / 24.РТМ 21 ПЕЧ.ПЛАТКИ","КОРСЕТ SS МАРИН HOLLOW FILTER/6.70","50447","78","3.43",""
"63427","РУСЕ ТАБАК ООД / 23.РТМ 10 ГОЦЕ ДЕЛЧЕ","КОРСЕТ SS МАРИН HOLLOW FILTER/6.70","50447","78","3.43",""
"63427","РУСЕ ТАБАК ООД / 22.РТМ 4 С.ИВАНОВО","КОРСЕТ SS МАРИН HOLLOW FILTER/6.70","50447","78","3.43",""
"63427","РУСЕ ТАБАК ООД / 21.РТМ 8 ДРУЖБА","КОРСЕТ SS МАРИН HOLLOW FILTER/6.70","50447","78","3.43",""
"63427","РУСЕ ТАБАК ООД / 30.РТМ 5 СРЕДНА КУЛА","КОРСЕТ SS УАЙТ HOLLOW FILTER/6.70","50446","78","3.43",""
