"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КАШК КУКЕРИ КГ ВАК","2200","11","12.27",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ VILLA YAMBOL 750МЛ CHARDONNAY","1002","75","4.84",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ ТЪРГОВИЩЕ 750МЛ ШАРДОНЕ","1004","75","4.55",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ ШАТО КАРНОБАТ 750МЛ ШАРДОНЕ","1008","75","4.39",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ ШАТО КАРНОБАТ 750МЛ МУСКАТ","1009","75","4.19",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ ШАТО КАРНОБАТ 750МЛ РОЗЕ","1011","76","4.19",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ ЛОВИКО 750МЛ МЕРЛО","1013","76","3.88",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ MENADA 750МЛ MUSKAT","1014","75","4.60",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ CYCLE 750МЛ MERLOT & PINOT NOIR","1015","76","5.99","5.09"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ ТЪРГОВИЩЕ 750МЛ МУСКАТ","1016","75","4.55",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КМ НА ХОРОТО 2% 400ГР","1018","7","0.56",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ VILLA YAMBOL 750МЛ MUSCAT","1019","75","4.84",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ VILLA YAMBOL 750МЛ CABERNET SAUVIGNON","1020","76","4.84",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ КАРНОБАТ СОФИЯ 750МЛ ШАРДОНЕ","1022","75","2.64",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ КАРНОБАТ СОФИЯ 750МЛ МУСКАТ","1024","75","2.64",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ TCHERGA 750МЛ ROSE","1025","76","6.54",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ ТЪРГОВИЩЕ ТРАМИНЕР 750МЛ","1026","75","5.24",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ ЗАГРЕЙ 750МЛ RASPBERRY & MAVRUD","1027","76","10.29",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КРЕНВИРШИ ЛЕКИ 400ГР ВИНЕР ВАК","1029","27","2.84",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ KHAN KRUM 750МЛ TRAMINER","1031","75","5.11",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ ТЪРГОВИЩЕ МАГАРЕШКО МЛЯКО 750МЛ","1036","75","2.29",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ INOVINO 750МЛ CABERNET SAUVIGNON","1039","76","5.52",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ CYCLE 750МЛ PINOT NOIR","1048","76","5.99","5.09"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ VILLA OVCHAROVO 750МЛ PINOT NOIR 2017Г","1050","76","13.29",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ БР.МИНКОВИ 750МЛ ШАРДОНЕ","1053","75","11.24","9.29"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ VILLA YAMBOL 750МЛ MERLOT","1060","76","4.84",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ CYCLE 750МЛ SAUVIGNON BLANC","1061","75","5.99","5.09"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ KHAN KRUM 750МЛ CHARDONNAY","1065","75","5.11",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ДОМАТИ ARRIVA 400ГР БЕЛЕНИ ЦЕЛИ","1066","48","0.84",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ MENADA 750МЛ CHARDONNAY","1069","75","4.60",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ DOMAINE BOYAR PLATINUM CABERNET SAUVIGNON 750МЛ","1071","76","16.51",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ КЕРАЦУДА 750МЛ КАРНОБАТ","1078","75","3.49",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ БР.МИНКОВИ 750МЛ КАБЕРНЕ","1081","76","11.24","9.29"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ ЛОВИКО 750МЛ CRAFTSMAN`S GREEK CABERNET & GAMZA","1082","76","4.03",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ MEZZEK 750МЛ КАБЕРНЕ И МАВРУД","1084","76","6.59",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ BRATANOV 750МЛ MERLOT & SYRAH 2017Г","1091","76","12.93",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ MENADA 750МЛ MERLOT","1092","76","4.60",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ MEZZEK 750МЛ КАБЕРНЕ","1095","76","6.59",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БВ ЛОВИКО 750МЛ CRAFTSMAN`S GREEK CHARDONNAY & RIESLING","1097","75","4.03",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ ТЪРГОВИЩЕ 750МЛ МЕРЛО РЕЗЕРВА","1100","76","4.90",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ КАРНОБАТ СОФИЯ 750МЛ КАБЕРНЕ","1107","76","2.64",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ КАРНОБАТ СОФИЯ 750МЛ МЕРЛО","1109","76","2.64",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","СИРЕНЕ КИТАН ОТ КРАВЕ МЛЯКО ВАК.","1121","9","8.64",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ ШАТО КАРНОБАТ 750МЛ КАБЕРНЕ","1125","76","4.19",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ АСЕНОВГРАД МАВРУД 750МЛ","1127","76","4.70",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ АСЕНОВГРАД МАВРУД 750МЛ РЕЗЕРВА","1128","76","5.82",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ АСЕНОВГРАД МАВРУД 750МЛ СПЕЦ.РЕЗЕРВА 2001Г","1129","76","6.28",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ ШАТО КАРНОБАТ 750МЛ МАВРУД","1130","76","4.19",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ МАГАРЕШКО МЛЯКО 750МЛ ROSE","1132","76","2.29",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ MEZZEK 750МЛ МАВРУД","1133","76","6.59",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ MEZZEK 750МЛ МЕРЛО","1134","76","6.28",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЧВ ШАТО КАРНОБАТ 750МЛ МЕРЛО","1141","76","4.19",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ШПЕК КЕН КГ ДЕЛИКАТЕСЕН Ф 45","1150","28","15.33",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КМ НАБОРЪ 500ГР 3.6%","1162","7","0.84",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ХЛЯБ ХЛЕБОПРОИЗВОДСТВО 650ГР БЯЛ","2001","1","0.86",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КАФЕ BIANCHI 250ГР NERO CREMA AROMA","2003","70","4.99","4.19"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д LINDT 100ГР SWISS CLASSIC MILK","2059","69","3.57",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БИРА ЗАГОРКА 2Л СПЕЦИАЛНО","2114","74","1.38",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ БУРГАСКА МУСКАТОВА 700МЛ FESTA","2119","77","10.19",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ КАЙЛЪШКА ГРОЗДОВА 700МЛ","2127","77","8.44","6.29"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ КАРНОБАТСКА 700МЛ ГРОЗДОВА","2131","77","7.59",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ КАРНОБАТСКА 700МЛ МУСКАТОВА","2132","77","8.99",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ КАРНОБАТСКА 700МЛ СПЕЦИАЛНА","2133","77","10.39",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ КЕХЛИБАР 700МЛ ГРОЗДОВА","2135","77","9.04","7.84"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ ПЕЩЕРСКА ГРОЗДОВА 700МЛ","2144","77","7.59",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ ПЕЩЕРСКА ОТЛЕЖАЛА 700МЛ","2146","77","8.84",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ ПОМОРИЙСКА ГРОЗДОВА 700МЛ","2148","77","7.99",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ ПОМОРИЙСКА МУСКАТОВА 700МЛ","2149","77","10.19",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ ПОМОРИЙСКА СПЕЦИАЛНА 700МЛ","2150","77","8.79",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","РАКИЯ ТРОЯНСКА СЛИВОВА 700МЛ","2155","77","8.84",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БИРА АСТИКА 2Л СВЕТЛО","1204","74","1.48",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КОЛБАС МИНЧО КОРТЕН КГ ТЕЛЕШКИ,ХАМБУРГСКИ, КАМЧИЯ","1215","27","8.41",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ШУНКА МИНЧО КОРТЕН КГ ВАК.","1221","27","10.83",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д MILKA 100ГР OREO","3006","69","1.48",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д MILKA 90ГР МЛЕЧЕН","3012","69","1.48",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д MILKA 90ГР HAZELNUSS","3014","69","1.53",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д MILKA 100ГР MILKINIS","3022","69","1.48",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д MILKA 90ГР NOISETTE","3023","69","1.53",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д MILKA 90ГР ЛЕШНИЦИ И СТАФИДИ","3024","69","1.53",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д MILKA 100ГР ЯГОДА","3025","69","1.48",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д MILKA 95ГР С ЦЯЛ ЛЕШНИК","3028","69","1.53",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д TOBLERONE 100ГР ВИДОВЕ","3035","69","2.94","1.89"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д МЛЕЧЕН 80ГР","3043","69","1.27",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д MILKA 100ГР МАЛИНА","3044","69","1.48",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д СВОГЕ 80ГР ЛЕШНИЦИ","3046","69","1.44",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д СВОГЕ 90ГР ЛЕШНИЦИ И СТАФИДИ","3048","69","1.44",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д СВОГЕ 80ГР МЛЕЧЕН","3049","69","1.44",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ЦИГ ROTHMANS KS SILVER 80ММ PREMIUM","3053","78","3.80",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","Ш-Д MILKA MILKINIS 87.5ГР","3055","69","1.48",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БИРЕНКА КЕН КГ","7","27","7.14",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ШУНКА - КРАЙЧЕТА КФМ ВАК.","307","27","5.24",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","БИРЕНКА КЕН 390ГР ВАК","309","27","3.27",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КОЛБАС КАМЧИЯ КГ ЕЛИТ МЕС","310","27","3.24",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КРЕНВИРШИ НАДЕЖДА МАЙСТОР ГОШ КГ ПИЛЕШКИ","316","26","2.94",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КАШК БОЖЕНЦИ 220ГР ВАК","327","11","2.81",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КАШК КУКЕРИ ГЮБЕК КГ ВАК","333","11","12.27",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ШПЕК/БУРГАС НАРОДЕН КГ ГАСТРО","336","28","9.99",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КРЕНВИРШИ КЕН КГ","9","26","5.94","5.09"
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","КРЕНВИРШИ ЛЕКИ КГ","6853","26","6.69",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ИЗВАРА САЯНА КГ КАШКАВАЛЕНА НАСИПНА","345","13","1.99",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ДЕБЪРЦИНИ АЯКС КГ","201","27","6.85",""
"68850","СИБИЕС МАРКЕТ, гр. Стара Загора, кв. ""Железник"", ул. ""Загорка"" срещу бл. 29","ШУНКА ПИГИ КГ СЛАЙС","203","27","7.87",""
