"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЕЛЕНА КАШКАВАЛ КГ ВАК","000101","11","15.19",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЕЛЕНА СИРЕНЕ КГ ВАК","000102","9","9.69","8.69"
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МАЙСТОР ЦВЕТКО ЖАРЕНО ФИЛЕ КГ СВИНСКО ВАК","000202","27","11.75",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ДЕВИН 1.5Л МИНЕРАЛНА*","000502","73","0.62",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ФЕЯ ВЕРО 400МЛ ЯБЪЛКА","000514","79","1.10",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ТЕО БЕБЕ САПУН 75Г ЛАВАНДУЛА","000555","83","1.05",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","СИТОВО КАШКАВАЛ КГ ВАК","000629","11","12.75",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","АРАЧИЕВИ КАШКАВАЛ КГ ВАК","000644","11","11.99",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БОНДЮЕЛ ГРАХ 425МЛ МК","000709","47","2.45",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","КЕН КРЕНВИРШ 320Г СВИНСКИ ВАК","000756","27","2.33",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ДАВ САПУН 90Г ОРИГИНАЛ","001143","83","1.20",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","АКВАФРЕШ ПЗ 50МЛ ТРОЙНА ЗАЩИТА СИНЯ","001161","81","2.12",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","КОЛГЕЙТ ПЗ 75МЛ МАКС ФРЕШ СИНЯ","001172","81","3.20",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ШАУМА Ш-Н 250МЛ 7 БИЛКИ","001182","82","3.20",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ДЕРОНИ ЛЮТЕНИЦА 520Г ТРАДИЦИОННА","001194","49","3.22",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ДЕРОНИ ЛЮТЕНИЦА 525Г ДОМАШНА","001195","49","3.22",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","САН ЛАЗАРО МАСЛ МАСЛО 1Л ЕКСТРА ВЪРДЖИН","001201","43","13.47",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ОЦЕТ КУЛИНАР 0.7Л ВИНЕН","001264","44","1.25",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","КОЛГЕЙТ ЧЗ ПРЕМИЕР КЛИЙН","001382","80","1.12","0.89"
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ТРАМИНЕР ТЪРГОВИЩЕ 0.75Л","001410","75","5.50",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ШАРДОНЕ ТЪРГОВИЩЕ 0.75Л","001411","75","4.70",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","РАКИЯ БУРГАСКА 0.7Л МУСКАТОВА","001425","77","10.95",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","РАКИЯ ПОМОРИЙСКА 0.7Л ГРОЗДОВА","001436","77","8.59",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","РАКИЯ ПЕЩЕРСКА 0.7Л","001457","77","8.15",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","РАКИЯ ПЕЩЕРСКА 0.7Л ОТЛЕЖАЛА","001461","77","9.30",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ОЛИО КАЛИАКРА 1Л БУТ ПЪРВА ПРЕСА","001474","42","2.19",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МЕГГЛЕ ПРЯСНО МЛЯКО 1Л 3.2% UHT","001485","6","1.79",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ГОРНА БАНЯ 1.5Л МИНЕРАЛНА","001525","73","0.69",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЛИНДТ ШОКОЛАД 100Г МЛЕЧЕН ЛИНДОР","001610","69","3.55",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","РАКИЯ КАЙЛЪШКА 0.7Л ГРОЗДОВА","001623","77","8.90",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","РАКИЯ ТРОЯНСКА 0.7Л ОТЛЕЖАЛА","001646","77","11.39",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЧЕРГА ЧЕРВЕНО ВИНО 0.75Л","001684","76","7.39",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МЕНАДА МЕРЛО  0.75Л","001685","76","5.29",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЧЕРГА БЯЛО ВИНО 0.75Л","001687","75","7.39","5.50"
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МЕЗЕК МЕРЛО 0.75Л КАТАРЖИНА","001691","76","7.00",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МЕЗЕК КАБЕРНЕ 0.75Л КАТАРЖИНА","001692","76","7.00",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МАВРУД АСЕНОВГРАД 0.75Л","001696","76","4.70",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МАВРУД АСЕНОВГРАД 0.75Л РЕЗЕРВА","001697","76","5.60",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","7ДЕЙС КРОАСАНИ 60Г КАКАО МИНИ","001775","67","0.89","0.75"
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","7ДЕЙС КРОАСАН 60Г КАКАО","001778","67","0.71",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","7ДЕЙС КРОАСАН 92Г МАКС БРЮЛЕ","001780","67","0.89",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","7ДЕЙС КРОАСАН 92Г МАКС КАКАО","001781","67","0.89",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЖИТЕН ДАР БИСКВИТИ 120Г ОБИКН","001794","66","0.79",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ОЛИНЕЗА ЛЮТЕНИЦА 520Г ТРАДИЦИОННА","001806","49","3.30",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ОЛИНЕЗА ЛЮТЕНИЦА 515Г ДОМАШНА","001807","49","4.06",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","СВОГЕ ШОКОЛАД 80Г МЛЕЧЕН","001910","69","1.79","1.39"
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МЛЕЧЕН ШОКОЛАД 80Г","001918","69","1.59",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МИЛКА ШОКОЛАД 90Г МЛЕЧЕН","001920","69","2.75",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БИОПРОГРАМА ЧАЙ 20БР ЛИПОВ ЦВЯТ","002022","72","2.89",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БИОПРОГРАМА ЧАЙ 20БР МАТОЧИНА","002023","72","1.07",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БИОПРОГРАМА ЧАЙ 20БР ШИПКА","002024","72","1.27",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БИОПРОГРАМА ЧАЙ 20БР ЛАЙКА","002026","72","1.17",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БИОПРОГРАМА ЧАЙ 20БР МАЩЕРКА","002027","72","1.46",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БИОПРОГРАМА ЧАЙ 20БР УТРО","002028","72","1.07",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БИОПРОГРАМА ЧАЙ 20БР АЛПИНИСТ","002029","72","1.07",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БИОПРОГРАМА ЧАЙ 20БР МЕНТА","002030","72","1.17",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БИОПРОГРАМА ЧАЙ 20БР СТАРОПЛАНИНСКИ","002031","72","1.07",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БИОПРОГРАМА ЧАЙ 20БР ВЪЛШЕБНИК","002032","72","1.53",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","НОВА БРАЗИЛИЯ 200Г КЛАСИК","002052","70","5.09",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","НОВА БРАЗИЛИЯ 200Г ДЖЕЗВЕ","002053","70","5.09","3.80"
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","РОДЕН КРАЙ БИСКВ 190Г ОБИКНОВЕНИ","002102","66","1.15",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","СТЕЛА МАКАРОНИ 500Г АСТРАКИ","002157","36","1.48",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","СТЕЛА МАКАРОНИ 500Г ТРИЦВЕТНИ","002158","36","1.92",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","СТЕЛА МАКАРОНИ 500Г ОРЗО МЕДИО","002159","36","1.48",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","СТЕЛА КУС КУС 500Г","002160","36","1.48",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЗЛАТЕН КЛАС КУС КУС 400Г","002182","36","0.61",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЗЛАТЕН КЛАС ФИДЕ 400Г","002183","36","0.61",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЗЛАТЕН КЛАС МАКАРОНИ 400Г ОХЛЮВИ","002184","36","0.61",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЛАВАЦА ЕСПРЕСО 100% 250Г МЛЯНО ВАК","002322","70","8.84",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЕЛЕНА КИСЕЛО МЛЯКО 400Г 2%","002386","7","0.84",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МЛАДОСТ КИСЕЛО МЛЯКО 400Г 2%","002387","7","0.69",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БЕЛЛА ТОЧЕНИ КОРИ 400Г","002390","5","1.87",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ФАМИЛИЯ ТОЧЕНИ КОРИ 500Г","002391","5","2.14",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ХЛЯБ ТИПОВ 600Г САВИМЕКС НАРЯЗАН","002427","4","0.94",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЧИЧОВЦИ ШПЕК 300Г СЕРВИЛАТ ВАКУУМ","002447","28","2.86",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ИЗЗИ СОЛ 1КГ СОЛЕЯ","002544","39","0.66",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ОЛИО БИСЕР 1Л","002709","42","2.10",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ТОЧЕНИ КОРИ ОДРИНСКИ 500Г","002840","5","1.94",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МЕГГЛЕ КИСЕЛО МЛЯКО 400Г 3.6%","002876","7","0.85","0.75"
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МЕЛИСА МАКАРОНИ 500Г ПЕНЕ РИГАТЕ","003128","36","1.76",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БАНКЯ МИН ВОДА 1.5Л","003191","73","0.69",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЧИПИКАО КРОАСАН 60Г","003192","67","0.86",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БРАШНО СОФИЯ МЕЛ 1КГ ЕКСТРА","003212","41","1.15",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","БРАШНО СОФИЯ МЕЛ 1КГ ТИП500","003213","40","1.15",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","МАДЖАРОВ СИРЕНЕ 500Г КРАВЕ КУТИЯ","003217","9","8.49",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ПРЕЗИДЕНТ МАСЛО 125Г 82%","003230","12","4.09",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ПРЕЗИДЕНТ МАСЛО 250Г 82% ФОЛИО","003231","12","7.90",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","АКВАФРЕШ ПЗ 125МЛ ТРОЙНА ЗАЩИТА СИНЯ","003318","81","3.09",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЛАВАЦА КРЕМА Е ГУСТО 250Г МЛЯНО ВАК","003323","70","7.15",""
"10135","СИТИ 01 ЗЕЛЕНИКА - ул. Зеленика №2","ЛАВАЦА РОСА 250Г МЛЯНО ВАК","003324","70","7.49",""
