"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ХЛЯБ КАРИНА ФОЛИРАН","61299","1","0.95","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ХЛЯБ КАРИНА ФОЛИРАН","61299","1","0.95","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ХЛЯБ ДОБРУДЖА СИМИД 650 ГР","8549","2","0.95","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ХЛЯБ ДОБРУДЖА СИМИД 650 ГР","8549","2","0.95","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ХЛЯБ  РЪЖЕН СИМИД 500ГР.","4845","3","1.05","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ХЛЯБ  РЪЖЕН СИМИД 500ГР.","4845","3","1.05","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ХЛЯБ ТИПОВ НАРЯЗАН СИМИД 650гр.","14676","4","0.95","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ХЛЯБ ТИПОВ НАРЯЗАН СИМИД 650гр.","14676","4","0.95","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","КОРИ ТОЧЕНИ  ФАМИЛИЯ 500ГР.","2363","5","2.06","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","КОРИ ТОЧЕНИ  ФАМИЛИЯ 500ГР.","2363","5","2.06","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ПРЯСНО МЛЯКО ВЕРЕЯ 3%1Л.","50889","6","1.72","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ПРЯСНО МЛЯКО ВЕРЕЯ 3%1Л.","50889","6","1.72","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","КИСЕЛО ВЕРЕЯ 2%  400ГР.","15804","7","0.78","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","КИСЕЛО ВЕРЕЯ 2%  400ГР.","15804","7","0.78","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","СИРЕНЕ СИТОВО КГ.","0314","8","7.00","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","СИРЕНЕ СИТОВО КГ.","0314","8","7.00","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","СИРЕНЕ КРАВЕ ЕЛИТ 1кг","0724","9","8.18","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","СИРЕНЕ КРАВЕ ЕЛИТ 1кг","0724","9","8.18","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","КАШКАВАЛ НАБОРЪ Г.П.","1992","10","7.99","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","КАШКАВАЛ НАБОРЪ Г.П.","1992","10","7.99","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","КАШКАВАЛ РОЖЕН ВАКУУМ","2369","11","10.74","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","КАШКАВАЛ РОЖЕН ВАКУУМ","2369","11","10.74","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","КРАВЕ МАСЛО САЯНА 250ГР","98649","12","2.86","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","КРАВЕ МАСЛО САЯНА 250ГР","98649","12","2.86","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ИЗВАРА МАДЖАРОВ КГ.","99012","13","3.58","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ИЗВАРА МАДЖАРОВ КГ.","99012","13","3.58","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ИЗВАРА МЕРОНЕ 400ГР.","3714","14","1.49","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ИЗВАРА МЕРОНЕ 400ГР.","3714","14","1.49","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ПИЛЕ ОХЛАДЕНО ГРАДУС","1635","15","3.89","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ПИЛЕ ОХЛАДЕНО ГРАДУС","1635","15","3.89","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ОХЛАДЕНО ПИЛЕШКО ФИЛЕ ГРАДУС КГ.","6204","16","6.69","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ОХЛАДЕНО ПИЛЕШКО ФИЛЕ ГРАДУС КГ.","6204","16","6.69","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ОХЛАДЕНИ ПИЛЕШКИ БУТЧЕТА НАНЮК КГ.","0766","17","3.89","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ОХЛАДЕНИ ПИЛЕШКИ БУТЧЕТА НАНЮК КГ.","0766","17","3.89","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","СВИНСКА ПЛЕШКА БЕЗ КОСТ","0776","18","5.47","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","СВИНСКА ПЛЕШКА БЕЗ КОСТ","0776","18","5.47","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","СВИНСКИ БУТ БЕЗ КОСТ","0554","19","5.27","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","СВИНСКИ БУТ БЕЗ КОСТ","0554","19","5.27","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","СВИНСКИ ШОЛ","1098","20","5.42","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","СВИНСКИ ШОЛ","1098","20","5.42","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","СВИНСКИ ВРАТ С КОСТ","0551","21","6.13","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","СВИНСКИ ВРАТ С КОСТ","0551","21","6.13","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","СВИНСКО ЗА ГОТВЕНЕ","0561","22","6.08","4.19"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","СВИНСКО ЗА ГОТВЕНЕ","0561","22","6.08","4.19"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ТЕЛЕШКИ ШОЛ","0564","23","13.19","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ТЕЛЕШКИ ШОЛ","0564","23","13.19","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","ТЕЛЕШКО МЕСО ЗА ГОТВЕНЕ","2253","24","12.79","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","ТЕЛЕШКО МЕСО ЗА ГОТВЕНЕ","2253","24","12.79","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","КАЙМА СМЕС II-60/40","0632","25","6.39","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ УЛ МИХАЛАКИ ГЕОРГИЕВ 25","КАЙМА СМЕС II-60/40","0632","25","6.39","0"
"56784","СУПЕРМАРКЕТ СЛЪНЧЕВИ ЛЪЧИ ФАМИЛИЯ БУЛ.НИКОЛА ВАПЦАРОВ 23","КРЕНВИРШ КЕН КГ","0488","26","6.10","0"
