"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","ИЗВАРА","000001","13","3.77",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","КЕН КРЕНВИРШИ","000009","26","6.49",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","МАСЛИНИ УСЛУ ОЛИВУС В МАСЛ.МАСЛО КГ","000024","62","4.50",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","ДОМАТИ","000044","54","4.20",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","ЖИТНИЦА КРЕНВИРШ","000050","26","6.14",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","КАЙМА 60%СВИНСКО+40%ТЕЛЕШКО","000112","25","4.50",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","СВ.ВРАТ С КОСТ","000136","21","6.20",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","ЯБЪЛКА ЕДРА","000161","53","2.75",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","МАСЛИНИ ГАЯ ЗЕЛЕНИ ЕКС.ДЖЪМБО БЕЗ КОСТ.КГ СТИВИ /10","000195","62","7.70",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","МОРКОВИ","000203","56","1.12",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","ЛИМОНИ","000205","50","3.70",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","БАНАНИ","000206","52","2.15",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","ЛУК","000213","55","0.77",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","ПОРТОКАЛИ","000216","51","2.00",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","СВ.ВРАТ БЕЗ КОСТ","000221","21","8.20",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","ЧЕСЪН","000234","59","5.60",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","СВ.ПЛЕШКА С КОСТ","000245","18","4.00",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","ЯБЪЛКА ДРЕБНА","000305","53","1.40",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","СВ.БУТ БЕЗ КОСТ","000311","17","4.00","3.80"
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","КРЕНВИРШ ПИЛЕШКИ ФЕРМАТА БЕЛЛА","000344","26","3.37",""
"10447","СТИВИ 1 ТРИЪГЪЛНИКА - УЛ.ПРОФ.ИЛИЯ ЯНУЛОВ 1","КАРТОФИ КГ","000346","61","0.65",""
