"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"04279","Супермаркет ""Стоми"" №001 Благоевград","ш-д Млечен 80гр.","10732026","69","0.86",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","б-ти Обикновени 130гр. Кристал","9937050","66","0.56",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","Кайма смес Стара планина 500гр. България ЕВРО МИЙТ ЕНД МИЛК","9932170","25","4.12",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","ц-ри Ротманс 84мм Черно Премиум","11620666","78","3.80",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","ц-ри Виктори /Ротманс голд 84мм","11620667","78","3.80",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","ц-ри Ротманс силвър премиум","11620669","78","3.80",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","ц-ри Ротманс уайт","11620649","78","3.50",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","ц-ри Мерлин 20бр. оне слим","11620658","78","3.40",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","ПЗЗ Дентал 50мл детска ягода/кола","10729879","81","0.84",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","млечна каша  Ганчев 190гр.  с плодове","53532523","63","0.97",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","р-я Пещерска 0.7л. обикновена","10730711","77","6.35",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","вино София Мускат 0.75л. Карнобат","10730482","75","2.17",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","вино София Кабарне 0.75л. Карнобат","10730483","76","2.17",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","с-н Тео 70гр.","427771538","83","0.40",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","хл. Гради 700гр. бял","1","1","1.00",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","хляб Рилски 650гр. бял","427773059","1","0.92",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","хл. Н. Гръчки 700гр. бял","43","1","0.97",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","хл. Н. Гръчки 900гр. бял","65130","1","1.02",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","Прясно мляко Млековита 3.2% 1л","10731073","6","1.20",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","веро Медикс 500мл. обик микс","893045","79","0.69",""
"04279","Супермаркет ""Стоми"" №001 Благоевград","веро Елви 500мл. микс","893037","79","0.55",""
