Населено място,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена на дребно,Цена в промоция
4279,супер маркет верос,"ямболска гроздова 0,7л",364,77,6.21,
4279,супер маркет верос,яйца L 10бр.кутия,9647,32,2.51,
4279,супер маркет верос,ябълка италия клас 1,4751,53,1.69,
4279,супер маркет верос,ш-н шаума 400мл-видове,1046,82,3.56,
4279,супер маркет верос,ш-д млечен 80гр,3345,69,1.02,
4279,супер маркет верос,чзз парадонтит антибактериална,6148,80,1.92,
4279,супер маркет верос,чесън турция клас1,4302,59,4.45,
4279,супер маркет верос,чай кооп букет,6939,72,0.75,
4279,супер маркет верос,хляб мио бял 500гр,5595,2,0.86,
4279,супер маркет верос,хляб заводски типов/бял,4310,4,1.02,
4279,супер маркет верос,хляб гръчки бял 700гр,3923,1,1.02,
4279,супер маркет верос,хл лагарде 450гр,10151,3,1.78,
4279,супер маркет верос,фамилия кори точени 500гр,3423,5,1.53,
4279,супер маркет верос,тх си-си 8-ца,534,85,1.16,
4279,супер маркет верос,спагети 10-ка дерони 400гр,2382,37,0.96,
4279,супер маркет верос,сол орбел готварска 1кг,1121,39,0.58,
4279,супер маркет верос,слънчо каша бананово-ябълкова 4+,9478,63,2.96,
4279,супер маркет верос,с-н дав 90/100гр,508,83,0.81,
4279,супер маркет верос,родопа шпек бургас 250гр,10523,28,3.57,
4279,супер маркет верос,пюре бебелан асорти горски плодове 5м 190гр,3530,64,1.16,
4279,супер маркет верос,пресен картоф опс българия,9819,61,0.72,
4279,супер маркет верос,пр.мляко 3.2%,10660,6,1.22,
4279,супер маркет верос,"портокали, гърция клас1",4299,51,1.53,
4279,супер маркет верос,пзз колгейт 75мл. в-ве,8224,81,1.12,
4279,супер маркет верос,пзз колгейт 125мл,10110,81,1.63,
4279,супер маркет верос,перелик сервилат/бургас  200гр,4015,28,2.29,
4279,супер маркет верос,"оцет ябълков 0,7л кулинар",2186,45,1.22,
4279,супер маркет верос,"оцет винен 0,7л кулинар",2187,44,1.19,
4279,супер маркет верос,олио клио 1л,10574,42,1.63,
4279,супер маркет верос,нова бразилия класик 200гр,1787,70,3.19,
4279,супер маркет верос,народен шпек бургас/класик вак.220гр,3822,28,2.53,
4279,супер маркет верос,нан 2 800гр,10966,65,23.95,
4279,супер маркет верос,моркови опс български,4359,56,0.82,
4279,супер маркет верос,мк кеър софт 72бр,7733,84,0.53,
4279,супер маркет верос,"мин.вода г.баня 1,5л",3,73,0.35,
4279,супер маркет верос,лютеница първомай 525гр,1783,49,2.01,
4279,супер маркет верос,лимон гърция клас1,4303,50,1.74,
4279,супер маркет верос,леща 1кг кръстев,122,34,2.52,
4279,супер маркет верос,кръстев ориз бисерен 1кг,68,35,1.65,
4279,супер маркет верос,кръстев макарони ригато 400гр,80,36,0.58,
4279,супер маркет верос,кръстев боб екстра 1кг,4936,33,2.9,
4279,супер маркет верос,"кромид полша,ОПС",4287,55,0.72,
4279,супер маркет верос,кроасан милка 50гр,11131,67,0.92,
