"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"63427","СУПЕРМАРКЕТ РУСЕ","БИРА АСТИКА 2L","3800052299417","74","1.5","0"
"63427","СУПЕРМАРКЕТ РУСЕ","БИРА КАМЕНИЦА 2L","3800052390411","74","1.69","0"
"63427","СУПЕРМАРКЕТ РУСЕ","ШОКОЛАД ТОБЛЕРОН 100 ГР","7614500010013","69","2.99","0"
"63427","СУПЕРМАРКЕТ РУСЕ","БИСКВИТИ ЗАКУСКА 255 ГР","3800008600151","66","1.29","0"
"63427","СУПЕРМАРКЕТ РУСЕ","БИСКВИТИ ЗАКУСКА 315 ГР","3800008600144","66","1.5","0"
"63427","СУПЕРМАРКЕТ РУСЕ","КРОАСАН 7 DAYS МИНИ МИЛФЕЙ 60 ГР","5201360571703","67","0.89","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ МУСКАТОВА КАРНОБАТ 0,700L    ","3800008906093","77","8","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ ПОМОРИЙСКА МУСКАТОВА  0,700L  ","3800005801964","77","9.4","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ ТРОЯНСКА СЛИВОВА ОТЛЕЖАЛА 0,700L  ","3800009802028","77","8.97","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ ТЪРГОВИЩЕ ГРОЗДОВА ОБИКНОВЕНА 0,700L  ","3800009407261","77","7.98","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ ПЕЩЕРСКА ОТЛЕЖАЛА 0,700L  ","3800032070050","77","7.98","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ КАРНОБАТ СПЕЦИАЛНА 0,700L  ","3800008906116","77","9.558","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ ГРОЗДОВА КАРНОБАТ 0,700L  ","3800008906024","77","6.6","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ КАЙЛЪШКА ГРОЗДОВА 0,700L  ","3800032070319","77","7.98","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ ПЕЩЕРСКА ГРОЗДОВА 0,700L  ","3800032070012","77","6.98","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ ПОМОРИЙСКА СПЕЦИАЛНА 0,700L  ","3800005800905","77","7.98","0"
"63427","СУПЕРМАРКЕТ РУСЕ","РАКИЯ ПОМОРИЙСКА ГРОЗДОВА 0,700L  ","3800005800912","77","7.48","0"
"63427","СУПЕРМАРКЕТ РУСЕ","ВИНО MENADA КАБЕРНЕ  0,750 л.  ","3800011401158","76","4.09","0"
"63427","СУПЕРМАРКЕТ РУСЕ","ВИНО SOPHIA CHARDONNAY 0,750 л.","3800008910670","75","2.29","0"
"63427","СУПЕРМАРКЕТ РУСЕ","ВИНО SOPHIA CHARDONNAY 0,750 л.","3800008910076","75","2.29","0"
"63427","СУПЕРМАРКЕТ РУСЕ","ВИНО SOPHIA MUSCAT 0,750 л.","3800008910229","75","2.5","0"
"63427","СУПЕРМАРКЕТ РУСЕ","ВИНО SOPHIA MUSCAT 0,750 л.","3800008910069","75","2.5","0"
"63427","СУПЕРМАРКЕТ РУСЕ","ЯБЪЛКИ ЧЕРВЕНИ КГ","2400001","53","2.55","0"
