"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ШОКОЛАД КАРАМЕЛ 100ГР.""МИЛКА""","20008","69","1.53",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ШОКОЛАД ЕКСЕЛЕНС НАТУРАЛЕН 70/78% КАКАО 100Г.""ЛИНД""","20010","69","3.79",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ШОКОЛАД ЕКСЕЛЕНС 85% КАКАО 100Г.""ЛИНД""","20013","69","3.79",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ШОКОЛАД ЕКСЕЛЕНС НАТУРАЛЕН ПОРТОКАЛ 100Г.""ЛИНД""","20014","69","3.79",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","Б-ТИ ОБИКНОВЕНИ КЛАСИКА 160ГР.""СИМЕРС ГРУП""","24008","66","0.90",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ВЕРО 400МЛ.""ФЕЯ""","31011","79","0.93",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","САПУН 75ГР.""БОЧКО""","31032","83","0.88",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","САПУН 90ГР.""ТЕО""","31042","83","0.67",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","САПУН 70ГР.""ТЕО""","31048","83","0.41",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","САПУН 100ГР.""НИВЕА""","31082","83","1.15",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ЛЕЩА НАРОДЕН ВКУС 1КГ.""ФАМИЛЕКС""","8601","34","2.64",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","БРАШНО ЕКСТРА 1КГ.""АРЧАР""","8503","41","0.61",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ОЦЕТ ЯБЪЛКОВ 700МЛ. ""ВЕДА""","75653","45","1.07",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ОЦЕТ ВИНЕН 700МЛ. ""ВЕДА""","75654","44","1.01",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ОЛИО 1Л. ""КАЛИАКРА""","9207","42","2.14",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ПАСТА ЗА ЗЪБИ 50МЛ.""АКВАФРЕШ""","46006","81","1.50",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","МАКАРОНИ 500ГР.""СТЕЛЛА""","8913","36","1.44",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ЛЮТЕНИЦА ОБИКНОВЕНА 520Г.""ОЛИНЕЗА""","3439","49","3.01",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ЛЮТЕНИЦА ДОМАШНА 515Г.""ОЛИНЕЗА""","3441","49","3.73",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ОБИКНОВЕНИ БИСКВИТИ 220ГР.""ЖИТЕН ДАР""","24020","66","1.26",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ОБИКНОВЕНИ БИСКВИТИ ИЗГРЕВ 182Г.""ПОБЕДА""","24035","66","0.69",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ШОКОЛАД МЛЕЧЕН 80Г.""СВОГЕ""","20082","69","1.34",""
"44238","Супермаркет ""Вирея"" , гр.Лом , ул.Цар Петър 12А","ШОКОЛАД ЛЕШНИК 80Г.""СВОГЕ""","20083","69","1.34",""
