"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КР.СИРЕНЕ СЕЛО ДЕБЕЛТ","44","8","5.99",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ХЛЯБ РЪЖЕН 400 ГР ДЕСИЙ","79","3","0.97",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ПРЯСНО МЛЯКО ВЕРЕЯ 3 % 1 Л","238","6","1.73",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КИСЕЛО МЛЯКО ДОМЛЯН 2% 500 ГР","271","7","0.81",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КИСЕЛО МЛЯКО ДОМЛЯН 3.6% 500 ГР","297","7","0.89",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КИС.МЛЯКО НАБОРЪ 3 6% 500 ГР","511","7","0.86",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ДОМАТИ /КГ","579","54","3.19",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КАРТОФИ","584","61","0.85",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЧЕСЪН /КГ","585","59","4.50",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","МОРКОВИ /КГ","586","56","1.39",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КРАСТАВИЦИ","588","58","2.79",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЛИМОНИ КГ/","593","50","3.79",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ПОРТОКАЛИ","595","51","2.39",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЛУК КАБАСУАН/КГ","596","55","0.95",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КРАВЕ СИРЕНЕ МОКРЕН/КГ","633","8","6.13",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЧЕРВЕНИ ЯБЪЛКИ","635","53","1.69",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КИС.МЛЯКО САЯНА 3 6% 400 ГР","662","7","0.79",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЗЕЛЕ","682","57","1.39",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КРАВЕ СИРЕНЕ ВЕРЕЯ 200 ГР ВАКУУМ","853","9","3.16",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ХЛЯБ ЕЛИС 700 ГР","901","1","1.02",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ОХЛ.ПИЛ.БУТЧЕТА /КГ","1100","17","2.79",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КРАВЕ КАШКАВАЛ САЯНА 400 ГР","1277","11","5.62",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КАШКАВАЛ ВЕРЕЯ 200 ГР ВАК.","1366","11","3.73",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ОХЛАДЕНО ПИЛЕ КГ/","1407","15","3.83",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ВЕРО ФЕЯ 400/450 МЛ ВИДОВЕ","1766","79","0.92",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","РЪЖЕН ХЛЯБ 470 ГР ЛАГАРД","1839","3","1.84",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КРЕНВИРШ КЕН/КГ","2001","26","6.03",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ОХЛ.ПИЛЕШКО ФИЛЕ/КГ","2021","16","6.99",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ШПЕК БУРГАС ЧИЧОВЦИ 400 ГР","2158","28","3.32",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КАШКАВАЛ ДЕЯ/ КГ","2366","10","7.61",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ИЗВАРА ДОМЛЯН 450гр","2500","14","1.53",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КАМЧИЯ НАРОДЕН 300 ГР","2752","27","1.79",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ТЕЛЕШКИ 'НАРОДЕН' 300 ГР","2753","27","1.79",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ХАМБУРСКИ 'НАРОДЕН' 300 ГР","2754","27","1.79",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","СВИНСКИ БУТ БЕЗ КОСТ АЛФА ФАРМ","3121","19","6.08",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","СВ.ВРАТ БЕЗ КОСТ АЛФА ФАРМ","3122","21","6.64",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","МЕСО ЗА ГОТВЕНЕ АЛФА ФАРМ","3136","22","6.08",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","СВИНСКА ПЛЕШКА БЕЗ КОСТ АЛФА ФАРМ","3140","18","5.87",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","БАНАНИ","3167","52","2.19",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЯЙЦА КУТИЯ 6 БР ДЖЕНИ","3311","31","1.53",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЯЙЦА КУТИЯ 10 БР ДЖЕНИ","3317","31","2.57",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","БЯЛ БОБ 570 ГР ЛЕДА","3987","46","1.49",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КРАВЕ СИРЕНЕ 400 ГР САЯНА ВАК","4002","9","3.75",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КРАВЕ МАСЛО 250 ГР САЯНА","4045","12","3.27",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КАФЕ НА ЗЪРНА  КРЕМОЗО 1 КГ","4120","71","15.33",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ХЛЯБ БЯЛ 600 ГР ДИАМАНТ","5255","1","1.02",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","БИРА БРИТОС 2 Л","5393","74","1.32",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ТЕЛ+ СВ. КАЙМА АЛФА ФАРМ","5482","25","5.05",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","МИН.ВОДА ВЕЛИНГРАД 6*1 5 Л СТЕК","6455","73","3.04",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ПЛОДОВИ ПЮРЕТА 190 ГР ГАНЧЕВ","7396","64","1.12",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ИНСТАНТНИ МЛЕЧНИ КАШИ 200 ГР ГАНЧЕВ ВИДОВЕ","7401","63","2.55",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ПРЯСНО МЛЯКО 3% НАБОРЪ 1Л","7445","6","1.53",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","КРОАСАН 22 КАРАТА  55 ГР","7500","67","0.33",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ОБИКН.Б-ТИ КРИСТАЛ 130 ГР","8259","66","0.61",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ХЛЯБ ДЕСИЙ 600 ГР","8385","1","1.02",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","СКУМРИЯ ФИЛЕ 1 КГ ПАКЕТ","8395","30","6.99",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ТИПОВ ХЛЯБ ДЕСИЙ 600 ГР","8396","4","1.02",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ДОМАТИ БЕЛЕНИ КУБЧЕТА 400 ГР АРИВА","8802","48","0.97",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ХЛЯБ 600 ГР ХЛЕБОЗАВОД АЙТОС","9470","1","1.02",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","МАКАРОНИ КРЪСТЕВ 400 ГР","9560","36","0.56",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","МЛЕЧЕН ШОКОЛАД 80 ГР","10104","69","1.07",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ОЦЕТ ВИНЕН 700 МЛ АРИВА","10217","44","1.12",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ОЦЕТ ЯБЪЛКОВ 700 МЛ АРИВА","10218","45","1.22",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","П.З  КОЛГЕЙТ 75 МЛ ВИДОВЕ","10313","81","1.22",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ТУРСКИ МАСЛИНИ УСЛУ","10347","62","5.62",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ВИНО ВИЛА ЯМБОЛ 750 МЛ","11174","75","4.69",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ВИНО ВИЛА ЯМБОЛ РОЗЕ 750МЛ","13409","76","4.69",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","СОЛ ДЖОРДЖЕС 1 КГ","14097","39","0.43",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЛЮТЕНИЦА ТРАДИЦИОННА ПЕТЕЛ 575 ГР","51322","49","2.24",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ГРАХ АРИВА КУТИЯ 400 ГР","52110","47","1.07",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","САПУН ТЕО БУКЕТ 70 ГР ВИДОВЕ","61251","83","0.45",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","Ш-Н ТЕО BEAUTY/NATURE 350 МЛ ВИДОВЕ","63710","82","1.89",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","МОКРИ КЪРПИ ЛАРА С КАПАК 72 БР","64573","84","1.17",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","БРАШНО ЕКСТРА СОФИЯ МЕЛ 1 КГ","80104","40","1.12",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","БРАШНО КЛАСИК СОФИЯ МЕЛ 1 КГ","80112","40","1.02",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ОРИЗ БИСЕРЕН 1 КГ АРИВА","80304","35","1.94",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЗАХАР БУРГАСПАК 1 кг","80504","38","0.91",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","СПАГЕТИ СТЕЛА 500 ГР","81306","37","1.38",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","БОБ МИЗИЯ 1 КГ АРИВА","82502","33","2.50",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЛЕЩА КЛАСИК АРИВА 1 КГ","82517","34","2.45",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ОЛИО БУРГАСПАК 1 Л","83001","42","1.68",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ОЛИО БИСЕР 1 Л","83051","42","2.14",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","МАСЛ.МАСЛО ЕЛИЯ 1Л ЕКСТРА ВЪРДЖИН","83154","43","14.99",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ТХ ЕМЕКА 8-ЦА","83552","85","2.49",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","НОВА БРАЗИЛИЯ ДЖЕЗВЕ 200 г","84502","70","3.32",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ЧАЙ БИОСЕТ ВИДОВЕ 20 БР*2 ГР","85041","72","1.09",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","МЕРИЛИН РОЗОВ 20 ЦИГАРИ","100029","78","3.34",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","МАСЛО ДОМЛЯН 125 ГР","100205","12","1.99",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","МАСЛО ВЕРЕЯ 125 ГР","100224","12","2.55",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","ТОЧЕНИ КОРИ ФАМИЛИЯ 500 ГР","100604","5","1.79",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","СПИРТНА НАПИТКА ПОМОРИЙСКА ГРОЗДОВА 700 МЛ","104005","77","7.89",""
"00151","ГР.АЙТОС УЛ.БУЗЛУДЖА 1","Ч.З.КОЛГЕЙТ ЗИГ-ЗАГ","55555726","80","0.81",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КР.СИРЕНЕ СЕЛО ДЕБЕЛТ","44","8","5.99",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ХЛЯБ РЪЖЕН 400 ГР ДЕСИЙ","79","3","0.97",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ПРЯСНО МЛЯКО ВЕРЕЯ 3 % 1 Л","238","6","1.73",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КИСЕЛО МЛЯКО ДОМЛЯН 2% 500 ГР","271","7","0.81",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КИСЕЛО МЛЯКО ДОМЛЯН 3.6% 500 ГР","297","7","0.89",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КИС.МЛЯКО НАБОРЪ 3 6% 500 ГР","511","7","0.86",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ДОМАТИ /КГ","579","54","1.89",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КАРТОФИ","584","61","0.89",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ЧЕСЪН /КГ","585","59","3.69",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","МОРКОВИ /КГ","586","56","1.39",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КРАСТАВИЦИ","588","58","3.39",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ЛИМОНИ КГ/","593","50","3.79",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ПОРТОКАЛИ","595","51","2.39",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ЛУК КАБАСУАН/КГ","596","55","0.99",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КРАВЕ СИРЕНЕ МОКРЕН/КГ","633","8","6.13",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ЧЕРВЕНИ ЯБЪЛКИ","635","53","1.69",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КИС.МЛЯКО САЯНА 3 6% 400 ГР","662","7","0.79",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ЗЕЛЕ","682","57","0.66",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КРАВЕ СИРЕНЕ ВЕРЕЯ 200 ГР ВАКУУМ","853","9","3.16",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ХЛЯБ ЕЛИС 700 ГР","901","1","1.02",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ОХЛ.ПИЛ.БУТЧЕТА /КГ","1100","17","2.79",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КРАВЕ КАШКАВАЛ САЯНА 400 ГР","1277","11","5.62",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КАШКАВАЛ ВЕРЕЯ 200 ГР ВАК.","1366","11","3.73",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ОХЛАДЕНО ПИЛЕ КГ/","1407","15","3.83",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ВЕРО ФЕЯ 400/450 МЛ ВИДОВЕ","1766","79","0.92",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","РЪЖЕН ХЛЯБ 470 ГР ЛАГАРД","1839","3","1.84",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КРЕНВИРШ КЕН/КГ","2001","26","6.03",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ОХЛ.ПИЛЕШКО ФИЛЕ/КГ","2021","16","6.99",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ШПЕК БУРГАС ЧИЧОВЦИ 400 ГР","2158","28","3.32",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КАШКАВАЛ ДЕЯ/ КГ","2366","10","7.61",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ИЗВАРА ДОМЛЯН 450гр","2500","14","1.53",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","КАМЧИЯ НАРОДЕН 300 ГР","2752","27","1.79",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ТЕЛЕШКИ 'НАРОДЕН' 300 ГР","2753","27","1.79",""
"00151","ГР.АЙТОС УЛ.ХРИСТО БОТЕВ 24","ХАМБУРСКИ 'НАРОДЕН' 300 ГР","2754","27","1.79",""
