"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","МИЛЕНА ХЛЯБ 700ГР БЯЛ",3307,1,1.13,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ТРАКИЙСКИ ХЛЯБ 600ГР БЯЛ НАРЯЗАН",22221,1,0.92,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ЛЕКСИ ХЛЯБ 650ГР ",48535,1,0.81,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","БАЛКАН ГРУП ХЛЯБ 600ГР БЯЛ",59769,1,1.20,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ХЕБЪР ХЛЯБ 400ГР БЯЛ 4433",64353,1,0.92,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ПРИМА ХЛЯБ 650ГР БЯЛ СЕЛСКИ",64516,1,1.31,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ХЕБЪР ХЛЯБ 500ГР БЯЛ СЪС СУСАМ 4571",77941,1,1.12,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ЕЛИАЗ ХЛЯБ 400ГР РЪЖЕН 100%",8848,3,1.18,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","МАСТЕМАХЕР ХЛЯБ 500ГР БИО РЪЖЕН",13682,3,3.29,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ТРАКИЙСКИ ХЛЯБ 470ГР РЪЖЕН С ЦЕЛИ РЪЖЕНИ СЕМЕНА",48547,3,1.02,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ЛАГАРД ХЛЯБ 450ГР СЕЛСКИ РЪЖЕН",93573,3,1.90,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ЛЮБЕКС БРАШНО 1КГ ТИП 500",13047,4,0.86,0.64
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","БАЛКАН ГРУП ХЛЯБ 600ГР ТИПОВ",59788,4,1.20,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ХЕБЪР ХЛЯБ 450ГР ТИПОВ 7432",85437,4,0.86,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ЛАГАРД ХЛЯБ 450ГР СЕЛСКИ ТИПОВ",93571,4,1.90,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","БЕЛЛА ТОЧЕНИ КОРИ 400ГР ЕКСТРА ФИНИ",2251,5,1.96,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ДЕВОН ТОЧЕНИ КОРИ 500ГР",6131,5,2.30,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","КАНАП КОРИ 400ГР РЪЧНО ТОЧЕНИ С БРАШНО ОТ ЛИМЕЦ",10803,5,4.19,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ОДРИНСКИ КОРИ 500ГР",16219,5,1.84,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ТЕРЗИ ТОЧЕНИ КОРИ 500ГР СТАМБОЛИЙСКИ",21644,5,1.95,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ТРАКИЙСКИ ТОЧЕНИ КОРИ 400ГР",22218,5,1.53,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ФАМИЛИЯ ТОЧЕНИ КОРИ 500ГР",22803,5,2.16,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","КАНАП КОРИ 400ГР РЪЧНО ТОЧЕНИ",76272,5,3.22,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","КАНАП КОРИ 400ГР РЪЧНО ТОЧЕНИ ПЪЛНОЗЪРНЕСТИ",76273,5,3.22,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","БЕЛЛА ТОЧЕНИ КОРИ 400ГР ПЪЛНОЗЪРНЕСТИ",107603,5,1.96,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ФАМИЛИЯ ТОЧЕНИ КОРИ 400ГР ЗА БАКЛАВА",122578,5,2.12,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ТЕРРА ПРЯСНО МЛЯКО 3.5% 1Л БАРИСТА",3692,6,1.53,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","МЕГГЛЕ ПРЯСНО МЛЯКО 3.2% 1Л УХТ",13799,6,1.73,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ВЕРЕЯ ЧУДНО ПРЯСНО МЛЯКО 3.7% 1Л",14203,6,1.72,1.59
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","КАЙМАКАНИ ПРЯСНО МЛЯКО 3.7% 1Л",14458,6,1.84,1.59
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","БОР ЧВОР ПРЯСНО МЛЯКО 3% 1Л ВАРЕНО КУТИЯ",16755,6,1.27,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","МАДЖАРОВ ПРЯСНО МЛЯКО 3.6% 1Л",20034,6,1.97,1.53
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ТЕРТЕР ПРЯСНО МЛЯКО 3.6% 1Л",26080,6,1.73,1.44
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ЧАЯ ПРЯСНО МЛЯКО 3.2% 1Л УХТ",31510,6,1.53,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","БУЛГАРЕА ПРЯСНО МЛЯКО 3.6% 1Л",31662,6,1.78,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","САЯНА УХТ МЛЯКО 3.2% 1Л",51105,6,1.53,1.09
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","БОЖЕНЦИ ПРЯСНО МЛЯКО 3.5% 1Л",57599,6,1.76,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ОЛИМПУС ПРЯСНО МЛЯКО 3.7% 1Л",71941,6,1.78,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","МЕГГЛЕ ПРЯСНО МЛЯКО 3.5% 1Л УХТ БАРИСТА",85139,6,1.86,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ОЛИМПУС БИО ПРЯСНО МЛЯКО 3.7% 1Л",108322,6,2.24,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","РОДОПСКО ПРЯСНО МЛЯКО  3.2% 1Л УХТ",132423,6,1.63,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ЧАЯ КИСЕЛО МЛЯКО 2% 400ГР",2955,7,0.71,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ЧАЯ КИСЕЛО МЛЯКО 3.6% 400ГР",2959,7,0.78,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","БОЖЕНЦИ КИСЕЛО МЛЯКО 2.2% 400ГР",3128,7,0.82,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","СИТОВО КИСЕЛО МЛЯКО 3.6% 400ГР",3249,7,0.78,0.67
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","БОР ЧВОР КИСЕЛО МЛЯКО 3,6% 400ГР",3327,7,0.69,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","БОР ЧВОР КИСЕЛО МЛЯКО 3,6% 400ГР ПРОБИОТИК",3328,7,0.78,
"56784","Супермаркет ЛЕКСИ - Пещерско шосе , Пловдив, ул. Пещерско шосе 78","ВЕРЕЯ КИСЕЛО МЛЯКО 2% 400ГР",4212,7,0.76,
