"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","MERILYN SLIMS PINK","000032","78","3.17",""
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","KING RED","000048","78","2.97",""
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","MERILYN SLIMS BLUE","000071","78","3.17",""
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","ОЦЕТ КУЛИНАР 0.7 Л","000173","44","1.26",""
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","Р-Я ПЕЩЕРА ГРОЗДОВА 0.7 Л","000175","77","7.59","6.29"
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","Р-Я ПЕЩЕРА ОТЛЕЖАЛА 0.7 Л","000181","77","8.62",""
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","МВ ГОРНА БАНЯ 1.5 Л","000344","73","0.64","0.52"
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","Ш-Н ЕЛСЕВ 250МЛ ПОДСИЛВАЩ ЧЕРЕН","000371","82","5.16","3.69"
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","ОЦЕТ КУЛИНАР ЯБЪЛКОВ 0.7","000419","45","1.35",""
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","П/З ОРАЛ БИ ДЕТСКА 50МЛ ПРО","000450","81","3.37","2.15"
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","П/З ОРАЛ БИ ДЕТСКА 75МЛ 6+Г","000451","81","3.37","2.15"
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","ВИНО ЛОГОДАЖ КЕРАЦУДА 0.75","000460","75","3.90",""
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","П/З КОЛГЕЙТ МАКС УАЙТ 75МЛ","000510","81","2.86","2.04"
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","ЯМБОЛСКА ГРОЗДОВА 0.7","000623","77","6.80",""
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","П/З БИЛКА ДЕНТ  ХОМЕОПАТИЧНА ГРЕЙПФРУТ 75МЛ","000653","81","2.61",""
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","КОРИ ТОЧЕНИ БЕЛЛА 400Г","000808","5","1.92","1.38"
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","КОРИ ТОЧЕНИ ФАМИЛИЯ 500Г","000809","5","2.10",""
"10447","КЛАСИКО КАРТАЛА - СТОЯН МИХАЙЛОВСКИ 7","ОЦЕТ ЯБЪЛКОВ ВТ 0.7Л","000889","45","1.40","1.09"
