"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","ЕСПУМИЗАН САШЕ Х 14 БЕРЛИН ХИМИ","40118","87","4.7","4.7"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","НАЗИК 0.1% СПРЕЙ 10МЛ КЛОСТЕРФРАУ","30341","97","7.77","7.77"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","ФЕНИСТИЛ ГЕЛ 30ГР НОВАРТИС","2977","91","6.54","6.54"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","КСИЗАЛ 5МГ Х 7 UCB","27819","100","4.6","4.6"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ФАМОТИДИН 20МГ Х 30 СОФАРМА","1532","86","1.99","1.99"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ПАНАДОЛ ОПТИЗОРБ 500МГ Х 24 ГЛАКСО","28907","96","2.6","2.6"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ФУНГОФИН 1% СПРЕЙ ЗА КОЖА 30МЛ НОБЕЛ","71033","90","8.18","8.18"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ЗЕНАРО 5МГ Х 7 ЗЕНТИВА","39431","100","3.89","3.89"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ОЛИНТ ШПРЕЙ 0.05% 10МЛ ПФАЙЗЕР","2598","97","4.99","4.99"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ЕКЗОДЕРИЛ КРЕМ 1% 30ГР САНДОЗ","70292","90","10.12","8.1"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ПАРАЦЕТАМОЛ 500МГ Х 20 СОФАРМА","20911","96","1.33","1.33"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","АНГАЛ 5МГ/1МГ ТАБЛЕТКИ ЗА СМУЧЕНЕ МЕНТОЛ Х 24 САНДОЗ","75605","98","6.9","6.9"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ВОЛТАРЕН РЕТАРД 100МГ Х 10 НОВАРТИС","238","95","1.48","1.48"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ОЛИНТ ДУО СПРЕЙ 10МЛ ПФАЙЗЕР","80771","97","6.8","6.8"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ИМОДИУМ ИНСТАНТ 2МГ X 6 J&J","59063","89","4.48","4.48"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","АЛМАГЕЛ А 170МЛ АКТАВИС","11862","86","4.19","4.19"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ЕЛАКСА КАПС Х 20 ФОРТЕКС","74159","88","6.08","6.08"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","АНГАЛ СПРЕЙ ЗА ГЪРЛО МЕНТОЛ 30МЛ САНДОЗ","75623","98","9.98","9.98"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ВОЛТАРЕН ЕМУЛГЕЛ 1% 100ГР НОВАРТИС","8320","95","10.96","10.96"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ТЕРАФЛУ МАКС ГРИП ГОРСКИ ПЛОД САШЕ Х 10","79936","99","8.13","8.13"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","АНГАЛ 5МГ/1МГ ТАБЛЕТКИ ЗА СМУЧЕНЕ ЛИМОН Х 24 САНДОЗ","75604","98","6.9","6.9"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","НУРОФЕН 200МГ ЛЕЧЕБЕН ПЛАСТИР X 2БР","76487","94","7.15","7.15"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","ИНДОМЕТАЦИН 25МГ Х 30 СОФАРМА","648","95","0.74","0.74"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","ДИКЛАК МАКС ГЕЛ 5% 150ГР САНДОЗ","79780","95","15.2","15.2"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ДУЛКОЛАКС ПИКО 15МЛ БЬОРИНГЕР","13531","88","6.09","6.09"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ОТРИВИН ПЛЮС СПРЕЙ 10МЛ","76889","97","7.36","7.36"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ТАЙЛОЛ ХОТ САШ Х 12 НОБЕЛ","14460","99","8.49","8.49"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","СТОПЕРАН 2МГ Х 8 USP","35304","89","3.32","3.32"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","НУРОФЕН 200МГ Х 24 РЕКИТ","24119","94","5.88","5.88"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","ИМОМЕД 2МГ Х 10 МЕДИКА","40536","89","2.71","2.71"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ОТРИВИН МЕНТОЛ 0.1% НОВАРТИС","50311","97","6.54","6.54"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ЙОДАСЕПТ УНГВ 90ГР АКТАВИС","2299","92","4.7","4.7"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","ФУРОТАЛГИН 5МЛ СОФАРМА","3008","101","6.03","6.03"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","ЕНТЕРОЛ 250МГ Х 12 КАПС БИОКОДЕКС","77249","89","7.36","7.36"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","ДУЛКОЛАКС 5МГ Х 30 БЬОРИНГЕР","1930","88","6.09","6.09"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","КСИЛОГЕЛ 0.1 % 10ГР ПОЛФА","17886","97","5.14","5.14"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ПСИЛО Б-М 1% ГЕЛ 20ГР СТАДА","22542","91","6.08","6.08"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","СПИРТ ЛАВАНДУЛОВ 1% 100МЛ ХИМАКС","21639","92","0.97","0.97"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ГАВИСКОН ЯГОДА ТАБЛ Х 16 РЕККИТ","66927","86","4.19","4.19"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","БУСКОЛИЗИН АМП 2% 1МЛ Х 10 СФ","2010","87","7.6","7.6"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","СТРЕПСИЛС С ВИТ.Ц ПОРТОКАЛ Х 24 РЕКИТ","2852","98","5.01","5.01"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","МОБИЛАТ ЕМУЛГЕЛ 2.32% ГЕЛ 180ГР СТАДА","81620","95","18.25","18.25"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","РИВАНОЛ 100МЛ ХИМАКС","3262","92","0.97","0.97"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ТАЙЛОЛ ХОТ САШ ЗА ДЕЦА Х 12 НОБЕЛ","27173","99","4.6","4.6"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ХЮМЕКСГРИП ТАБЛ/КАПС12/4","25917","99","4.86","4.86"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ЛИНФОРТЕ 2 Х 14 КАПС. САНДОЗ","80178","89","8.79","8.79"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","МУКОФАЛК ПОРТОКАЛ ПРАХ Х 20","3212","88","8.74","8.74"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","АНГАЛ ЗА ДЕЦА X 24 ТБ ЯГОДА САНДОЗ","78756","98","6.9","6.9"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","ФУНГОФИН 15ГР КРЕМ НОБЕЛ","28255","90","5.06","5.06"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ДИКЛАК МАКС ГЕЛ 5% 50ГР САНДОЗ","8035","95","7.6","7.6"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","СПИРТ ЕТИЛОВ 90% 1Л ХИМАКС","21472","92","5.11","5.11"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","ДЕРМОДРИН УНГВ 30ГР МОНТАВИТ","26099","91","4.55","4.55"
"35167","АПТЕКА АРНИКА, гр. Казанлък, бул. Розова долина 2","ФУНГИТЕР 5% ЛЕЧЕБЕН ЛАК ЗА НОКТИ 2.5МЛ ФОРТЕКС","78585","90","17.79","17.79"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","ЛАКТУЛОЗА-МИП 200МЛ","23949","88","7.6","7.6"
"35167","АПТЕКА ФАРМАВИСТ, гр. Казанлък, жк. Изток, бл. 76","СПИРТ ЕТИЛОВ 70% 100МЛ ХИМАКС","21632","92","0.64","0.64"
"35167","АПТЕКА ХИГИЯ, гр. Казанлък, ул. Отец Паисий Хилендарски 33","АЦЕТИЗАЛ 500МГ Х 20 АКТАВИС","7538","96","1.33","1.33"
