"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","СИРЕНЕ ЕЛЕНА КГ.","36","8","9.59","7.85"
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","ЦИГАРИ МЕРИЛИН РЕД","70","78","3.17",""
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","ЦИГАРИ МЕРИЛИН БЛУ","72","78","3.17",""
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","ПЗ ПАРОДОНТАКС КОМПЛИЙТ ПРОТЕКШЪН 75МЛ","75","81","6.62",""
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","ПЗ АКВАФРЕШ ТРОЙНА ЗАЩИТА АКТИВ УАЙТ 125МЛ","118","81","2.70","1.79"
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","Ш-Н ТЕО НЕЙЧЪР 2В1 350МЛ","170","82","2.17","1.65"
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","Ш-Н ТЕО БЮТИ 350МЛ","171","82","2.17","1.65"
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","МОКРИ КЪРПИ БЕБЕ КРЕМ 120БР","188","84","2.02",""
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","МАСЛИНОВО МАСЛО АЛЕКСАНДЪР ЕКСТРА ВЪРДЖИН 1Л","198","43","8.33",""
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","ВИНО КУАНТУМ ПИНО ГРИДЖИО ДБ 750МЛ","224","75","6.62","5.35"
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","ПЗ АКВАФРЕШ АЛЛ ИН УАН БАКТЕРИАЛ ДЕФЕНС 75МЛ","239","81","3.57",""
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","ПЗ ПАРОДОНТАКС ХЕРБАЛ 75МЛ","267","81","5.52",""
"10135","СТАРМАРКЕТ 2014 Варна ул. Кюстенджа 24","КРАВЕ СИРЕНЕ КИСЕЛОВО 800ГР","276","9","7.59",""
