"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","ТОПОЛА - ул. Топола № 12","МАКАРОНИ СТЕЛА 500ГР ПЕНЕ РИГАТЕ","000643","36","1.51",""
"10135","ТОПОЛА - ул. Топола № 12","МАКАРОНИ ЗЛАТЕН КЛАС 400ГР ОХЛЮВИ","000653","36","0.64",""
"10135","ТОПОЛА - ул. Топола № 12","МАКАРОНИ ЗЛАТЕН КЛАС 400ГР МОЛИВИ","000654","36","0.64",""
"10135","ТОПОЛА - ул. Топола № 12","МАКАРОНИ ЗЛАТЕН КЛАС 400ГР ГОЛЕМИ МИДИ","000655","36","0.64",""
"10135","ТОПОЛА - ул. Топола № 12","МАКАРОНИ ЗЛАТЕН КЛАС 400ГР ЮФКА","000656","36","0.64",""
"10135","ТОПОЛА - ул. Топола № 12","МАКАРОНИ ЗЛАТЕН КЛАС 400ГР СПИРАЛА","000657","36","0.64",""
"10135","ТОПОЛА - ул. Топола № 12","МАКАРОНИ ЗЛАТЕН КЛАС 400ГР РОГЧЕ","000658","36","0.64",""
"10135","ТОПОЛА - ул. Топола № 12","МАКАРОНИ ЗЛАТЕН КЛАС 400ГР КЪСИ","000685","36","0.64",""
"10135","ТОПОЛА - ул. Топола № 12","ЧАЙ АХМАД 20БР ЗЕЛЕН ОРИГИНАЛ","000726","72","3.22",""
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ЕЛСЕВ 250МЛ КОЛОР-ВИВ","000752","82","5.36",""
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ЕЛСЕВ 250МЛ ТОТАЛ-РЕПИЪР","000756","82","5.36",""
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ЕЛВИВ 250МЛ МЕН ПРОТИВ ПЪРХОТ","000757","82","5.21",""
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ШАУМА 400МЛ ВЪЗСТАНОВЯВАНЕ И ГРИЖА","000876","82","3.57","2.99"
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ШАУМА 400МЛ 7 БИЛКИ","000878","82","3.57","2.99"
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ШАУМА 400МЛ П/В ПЪРХОТ","000881","82","3.57","2.99"
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ФРУКТИС 250МЛ БОЯДИСАНА КОСА","000924","82","4.24",""
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ПАЛМОЛИВ 350МЛ ПРОТИВ ПЪРХОТ","000994","82","2.04",""
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ПАЛМОЛИВ 350МЛ 2В1 ЗА ВСИЧКИ ВИДОВЕ КОСИ","000995","82","2.04",""
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ПАЛМОЛИВ 350МЛ НОРМ. КОСА С АЛОЕ","000997","82","2.04",""
"10135","ТОПОЛА - ул. Топола № 12","ШАМП.ПАЛМОЛИВ 350МЛ МАСЛИНА","001215","82","2.04",""
"10135","ТОПОЛА - ул. Топола № 12","САПУН ТОАЛЕТЕН ТЕО 70ГР БУКЕТ ЕКЗОТИК","001308","83","0.51",""
"10135","ТОПОЛА - ул. Топола № 12","САПУН ТОАЛЕТЕН ПАЛМОЛИВ 90ГР КРАСТАВИЦА","001343","83","1.02",""
"10135","ТОПОЛА - ул. Топола № 12","САПУН ТОАЛЕТЕН ПАЛМОЛИВ 90ГР РОЗОВ","001344","83","1.02",""
"10135","ТОПОЛА - ул. Топола № 12","САПУН ТОАЛЕТЕН ПАЛМОЛИВ 90ГР МЛЯКО И МЕД","001345","83","1.02",""
"10135","ТОПОЛА - ул. Топола № 12","САПУН ТОАЛЕТЕН ПАЛМОЛИВ 90ГР МАСЛИНА","001346","83","1.02",""
"10135","ТОПОЛА - ул. Топола № 12","САПУН ТОАЛЕТЕН ПАЛМОЛИВ 90ГР ЛАЙКА","001347","83","1.02",""
"10135","ТОПОЛА - ул. Топола № 12","КАШКАВАЛ ПИТА АРАЧИЕВ","001351","10","11.10",""
"10135","ТОПОЛА - ул. Топола № 12","А/КРАСТАВИЦИ","001363","58","3.30",""
"10135","ТОПОЛА - ул. Топола № 12","СИРЕНЕ ВАК.ЕЛЕНА","001424","9","10.43","9.59"
"10135","ТОПОЛА - ул. Топола № 12","КРЕНВИРШИ КЕН","001426","26","6.34",""
"10135","ТОПОЛА - ул. Топола № 12","КАШКАВАЛ ВАК.АРАЧИЕВ","001551","11","11.96",""
