"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Мляко MLEKOVITA 3.2% 1л UHT   ;3","2621","6","1.49",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Боб HEINZ печен в доматен сос 415гр   ;3","2756","46","1.68",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино бяло СОФИЯ Мускат 750мл   ;3","2258","75","2.64",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино бяло ШАТО КАРНОБАТ Мускат 750мл   ;4","2261","75","4.41",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино бяло СОФИЯ Шардоне 750мл   ;3","2264","75","2.64",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино бяло ШАТО КАРНОБАТ Шардоне 750мл   ;3","2265","75","4.19",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино червено СОФИЯ Каберне/Совиньон 750мл   ;3","2270","76","2.64",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино червено ШАТО КАРНОБАТ Каберне 750мл   ;3","2272","76","4.41",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино червено СОФИЯ Мерло  750мл   ;3","2278","76","2.64",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино червено ШАТО КАРНОБАТ Мерло 750мл   ;3","2279","76","4.19",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино червено ЛОВИКО Каберне 0.75л   ;4","18079","76","3.78",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино червено ЛОВИКО Мерло 0.75л   ;4","2287","76","3.78",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино бяло ПОМОРИЕ Мускат 750мл   ;3","2340","75","4.37",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Ракия КАРНОБАТСКА гроздова 0.7л   ;3","2344","77","7.64",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино бяло ПОМОРИЕ Шардоне 750мл   ;3","2345","75","4.74",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Ракия КАРНОБАТСКА мускатова 0.7л   ;3","2347","77","8.99",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино червено ПОМОРИЕ Каберне сов. 750мл   ;3","2351","76","4.37",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино червено ПОМОРИЕ Мерло 750мл   ;4","2355","76","4.37",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Ракия ПОМОРИЙСКА обикновенна 0.7л   ;3","2380","77","7.92",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Ракия ПОМОРИЙСКА мускатова 0.7л   ;3","2383","77","10.09",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Ракия СУНГУРЛАРСКА специална 0.7л   ;5","2390","77","14.99",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Ракия СУНГУРЛАРСКА гроздова 0.7л   ;3","2392","77","9.81",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино червено Quantum мавруд/мерло 0.75л   ;1","2451","76","6.36",""
"51500","Супермаркет ""Младост"", к.к.Слънчев бряг, кв.Камелия-Запад","Вино бяло Д.БОЙАР Мускат 750мл   ;1","2484","75","5.26",""
