"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"87374","Славекс, ж-к Диана бл.6","Шоколад Млечен 80г","101","69","1.02",""
"87374","Славекс, ж-к Диана бл.6","Кисело краве мляко Народен Дар 2% 400г","482","7","0.59",""
"87374","Славекс, ж-к Диана бл.6","Мин. Вода Велинград 1.5л / 6бр стек","983","73","3.04",""
"87374","Славекс, ж-к Диана бл.6","Арива Леща Класик 1кг","1204","34","2.24",""
"87374","Славекс, ж-к Диана бл.6","Масло краве Сакарела 125г","1425","12","1.84",""
"87374","Славекс, ж-к Диана бл.6","Оцет Кулинар винен 700мл","1525","44","1.22",""
"87374","Славекс, ж-к Диана бл.6","Оцет Кулинар ябълков 700мл","1526","45","1.27",""
"87374","Славекс, ж-к Диана бл.6","ЧЗ Астера Тайм индекс","2083","80","1.12",""
"87374","Славекс, ж-к Диана бл.6","Бисквити ИЗГРЕВ 120гр Обикновени","2161","66","0.62",""
"87374","Славекс, ж-к Диана бл.6","Риба СКУМРИЯ 500г+ замразена","2323","29","6.30",""
"87374","Славекс, ж-к Диана бл.6","Захар Джорджес 1кг","2538","38","1.01",""
"87374","Славекс, ж-к Диана бл.6","Сол ситна Джорджес 1кг","2540","39","0.40",""
"87374","Славекс, ж-к Диана бл.6","Брашно Джорджес ТИП 500 1кг","2584","40","0.64",""
"87374","Славекс, ж-к Диана бл.6","Кафе Gala Wiener Extra 250г мляно","2786","70","3.79",""
"87374","Славекс, ж-к Диана бл.6","Маслини Каламата мека","2869","62","3.83",""
"87374","Славекс, ж-к Диана бл.6","Кори Тракийски 400гр","2925","5","1.38",""
"87374","Славекс, ж-к Диана бл.6","Народен Кренвирш","2930","26","4.90",""
"87374","Славекс, ж-к Диана бл.6","Препарат за съдове Бинго 400мл различни видове","3059","79","0.79",""
"87374","Славекс, ж-к Диана бл.6","Ракия Пещерска 700мл Гроздова","3257","77","7.10",""
"87374","Славекс, ж-к Диана бл.6","ЧИК. ГР. Охл. пиле цяло","3694","15","3.69",""
"87374","Славекс, ж-к Диана бл.6","Хляб Стара Загора СЛАВЕКС 600гр бял нарязан","3873","1","0.84",""
"87374","Славекс, ж-к Диана бл.6","ПЗ Астера 110г Caries Protection","4050","81","1.10",""
"87374","Славекс, ж-к Диана бл.6","Охл. свински бут//България","4168","19","5.62",""
"87374","Славекс, ж-к Диана бл.6","Сапун Palmolive 90гр","5046","83","0.59",""
"87374","Славекс, ж-к Диана бл.6","Хляб Милена Типов 600г","5104","4","0.92",""
"87374","Славекс, ж-к Диана бл.6","Цигари Кинг KS ред 6.00лв","5125","78","3.07",""
"87374","Славекс, ж-к Диана бл.6","Макарони Златен клас 400г спирала","5145","36","0.56",""
"87374","Славекс, ж-к Диана бл.6","Охладен пилешки бут Чикън груп","5558","17","2.69",""
"87374","Славекс, ж-к Диана бл.6","Кайма 60/40 от свинско и говеждо месо//Мелмак","5787","25","6.39",""
"87374","Славекс, ж-к Диана бл.6","Млечна каша Ганчев 190гр с нишесте и ванилия/пюре/","6453","63","1.06",""
"87374","Славекс, ж-к Диана бл.6","Сирене краве Народен Дар","6542","8","7.26",""
"87374","Славекс, ж-к Диана бл.6","Ориз Джорджес Бисерен 1кг","6607","35","1.43",""
