"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+СИРЕНЕ КРАВЕ БАЧО ИЛИЯ ЩАНД","001017","8","8.95",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+СПАГЕТИ СТЕЛА 6 0,500","001041","37","1.38",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+СПАГЕТИ СТЕЛА 10 0,500","001042","37","1.38",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ХЛ АЙТОС БЯЛ  0,600","001073","1","1.02",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+СКУМРИЯ 400/600 АТЛАНТИК ЗАМР ПЛИК","001447","29","7.00",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+МЛ ПРЯСНО ВЕРЕЯ 3% 1Л","001542","6","1.60",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","КРЕНВИРШИ ФЕРМАТА ПИЛЕШКИ ЩАНД","001610","26","3.40",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+СИРЕНЕ КРАВЕ СИГМЕН ВАК","001661","9","11.30",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+СИРЕНЕ КРАВЕ САЯНА ЩАНД","001702","8","6.90",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ЯБЪЛКА ЖЪЛТА","001974","53","2.50",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КАРТОФИ","002040","61","0.82",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КРЕНВИРШИ КЕН ЩАНД","002115","26","5.93","4.73"
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+МАСЛИНИ ЕФЕС В ЗЕХТИН","002156","62","4.55",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КАРТОФИ  ПРЕСНИ","002160","61","0.82",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ВОДА ДЕВИН МИНЕРАЛНА 1,5Л","002834","73","0.56",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КАШК КРАВЕ РОДОПЧАНКА ПИТА","002894","10","11.60",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ИЗВАРА МАДЖАРОВ ЩАНД","003318","13","3.43",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КРАСТАВИЦИ БЪЛГАРСКИ","003455","58","3.60",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ВИНО КВАНТУМ КАБЕРНЕ СОВИНЬОН 0,750","004696","76","4.47",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ДОМАТ","004725","54","2.80",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+БИРА БУРГАСКО 2Л","004859","74","0.97",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ЛИМОНИ","005529","50","3.30",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+БАНАНИ","005536","52","1.75",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ЗЕЛЕ БЯЛО","005909","57","1.30",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ЧЕСЪН","005914","59","4.35",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+МОРКОВИ","005934","56","1.40",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ПОРТОКАЛ","006005","51","2.10",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ЛУК КАБА/ВОДЕН IGG","006006","55","0.90",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ЗАХАР БУРГАСПАК 1КГ","011332","38","0.87",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ПЗ АКВАФРЕШ МИЛД И МИНТИ 0,100","011582","81","1.28",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КАФЕ ЧИБО ФЕМИЛИ МЛЯНО 0,250","012525","70","3.70",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+МАК СТЕЛА МИДИ 0,500","012622","36","1.38",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ПРЕП ВЕРО МЕДИКС КЛАСИК ЛЮЛЯК 0.500","013237","79","0.70",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ШН ШАУМА КОКОС 0,400","013741","82","1.88",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КАФЕ ЧИБО КРЕМА ИНТЕНЗ ЗЪРНА 1КГ","013815","71","5.11",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КОНС ДОМАТИ НА КУБЧЕТА ДЕРОНИ 0,400","013915","48","1.23",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ЗЕХТИН САН ЛАЗАРО ЕКСТРА ВЪРДЖИН 1Л","014311","43","13.60",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+МЛ КИС РОДОПЕЯ 2% 0,500","014374","7","0.79",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+МЛ КИС ВЕРЕЯ 3,6% 0,400","016250","7","0.70",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","ХЛ МИЛЕНА ТИПОВ 0,600","016573","4","0.56",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ХЛ АЙТОС ТИПОВ 0,500","017455","4","0.37",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","ЛЮТЕНИЦА ДЕРОНИ ТРАДИЦ 0,520","018120","49","3.02",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ОРИЗ БИСЕРЕН ЕКСТРА АРИВА 1КГ","019754","35","1.40",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КОНС ГРАХ АРИВА БУРК 0,680","019774","47","1.30",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ЯЙЦА КОКОИМПЕКС/МАРВАС 10БР М","020531","31","1.90",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ШН ТЕО АЛОЕ ВЕРА/КОПРИВА 0,350","021690","82","1.59",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ШПЕК ФЕРМАТА МУРГАШ 0,400","023338","28","3.90",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+СН ТЕО БУКЕТ ФРЕШ  0,070","023605","83","0.40",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КАШК КРАВЕ ДОМЛЯН ВАК 0,230","025911","11","3.43",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КЪРПИ МОКРИ АГНЕЛА С КАПАК 120БР","026297","84","1.00",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ОЦЕТ ВИНЕН ВЕДА 0,700","026658","44","1.20",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ОЦЕТ ЯБЪЛКОВ ВЕДА 0,700","027227","45","1.30",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+БРАШНО СОФИЯ МЕЛ ЕКСТРА 1КГ","027921","41","1.15",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+БРАШНО СОФИЯ МЕЛ КЛАСИК 1КГ","027922","40","1.10",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ВИНО КВАНТУМ ШАРДОНЕ 0,750","028374","75","6.40",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КАШК КРАВЕ НАБОРЪ 0,200","028775","11","2.15",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КОРИ ЗА БАНИЦА ФАМИЛИЯ 0,500","029415","5","1.75",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+МАСЛО КРАВЕ ВЕРЕЯ 0,125","029439","12","2.35",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","ЧАЙ БИОСЕТ МЕНТА 0,030","029674","72","1.12",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КРОАС 22 КАРАТА 0,055","029772","67","0.28",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ШОКОЛАД МЛЕЧЕН 0,080","031206","69","1.00",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+СОЛ СИТНА СОЛИНА ПЕРЛА 1КГ","038210","39","0.40",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ЦИГАРИ КАРЕЛИЯ СЛИМС","038695","78","3.40",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+ОЛИО КАЛИАКРА СЛЪНЧОГЛ 1Л","039138","42","2.20",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+СИРЕНЕ КРАВЕ МАДЖАРОВ 0,400","040032","9","5.42",""
"17974","СРЕДЕЦ - УЛ.ДИМИТЪР КИЧЕВ 22","+КОНС БОБ БЯЛ КРЪСТЕВ 0,540","040215","46","1.07",""
"35883","КАМЕНО - УЛ ГЕОРГИ КОНДУЛОВ 4","+СИРЕНЕ КРАВЕ БАЧО ИЛИЯ ЩАНД","001017","8","9.15",""
