"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","СВИНСКА ПЛЕШКА И БУТ пр:БЪЛГАРИЯ","232","18","3.77",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Ракия Пещера ""Гроздова"" 700мл.","101034","77","6.17",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","КРЕНВИРШ КЕН кг","10","26","6.36",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","СВИНСКИ БУТ КАРЕ ЗА СКАРА кг","15","19","6.53",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Банани кг.","30","52","1.74",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Плод Портокал кг","31","51","1.90",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","ДОМАТИ кг.","32","54","2.98",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Лимони Фреш  кг.","34","50","2.88",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Шоколад МЛЕЧЕН 80г","2619","69","0.85",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Белла  Точени Кори Фини 400гр","3460","5","1.70",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","ОЛИО КАРИНА 1л.","3444","42","1.70",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Краставица кг","258","58","2.90",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Кашкавал Силистра Милитан Тост   кг","261","11","12.26",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","СКУМРИЯ ЕДРА 4-6 БЛОК  кг","3521","29","8.25",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","НАСИПНА ГЪБА  кг","3549","60","4.08",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","КАШКАВАЛ БОРИНО триъгълник кг","816","11","12.77",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Моркови кг.","333","56","1.20",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","ЧИСТЕНА ЦИПУРА  пр:ГЪРЦИЯ","5109","30","14.20",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Ябълки кг.","370","53","1.25",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Извара   РАВНОГОР  кг","398","13","2.48",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","ПИЛЕ ОХЛАДЕНО кг.","445","15","4.26",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","ПИЛЕШКО БУТЧЕ ОХЛАДЕНО","446","17","2.64",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","ОХЛАДЕН СВИНСКИ ВРАТ","994","21","4.35",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Кромид Лук кг.","103","55","0.85",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Зеле кг.","1069","57","1.20",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","СИРЕНЕ ВАКУУМ Ситово КЛАСИК Краве кг.","4647","9","9.19",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Брашно Софиямел  Екстра 1кг/1.1кг","4798","41","1.24",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","КАЙМА ЛУКСА 70-30 кг.","1166","25","4.37",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Чесън кг","624","59","4.98",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Родопчанка Кашкавал Клин кг","545","11","10.54",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","САЯНА Краве Сирене  кг.","6021","8","6.76",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Картоф кг","6221","61","0.72",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","ВИНО ШАТО КАРНОБАТ  видове 750мл.","101570","76","4.60",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Брашно Софимел Тип 500 /  1кг/1.1кг","11575","40","1.19",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Народен  Малотраен Колбас 300г ВИДОВЕ","12674","27","1.76",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","ЛЮТЕНИЦА ТОДОРКА ТРАДИЦИОННА 575г","12853","49","2.71",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Del Alma Оцет 6% Винен 700мл.","2341","44","1.53",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","DEL ALMA ОЦЕТ 6% ЯБЪЛКОВ 700мл.","2342","45","1.75",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","ЕЛИТ Краве Сирене Вакум","815","9","9.14",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Охладено Пилешко Филе кг","693","16","6.64",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Кисело Мляко Бор Чвор 400гр. 2%","14206","7","0.45",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Кисело Мляко Бор Чвор 400мл 3.6%","14207","7","0.57",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Краве Масло МАРКЕНБУТЕР  250гр.","14995","12","3.06",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Бондюел Грах 800г","15099","47","2.84",""
"55155","Супермаркет ""ТАРИТА"" №001, гр.Пазарджик ,ул.Болнична 416","Хранинвест Смес 125г.","15225","12","0.73",""
