"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","МАСЛИНА НАТУРАЛНА","020004","62","7.11",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","МАСЛИНА НАТУРАЛНА АМФИСА","020013","62","4.86",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","МАСЛИНА НАТУРАЛНА КАЛАМАТА КАЛИНА   /13КГ/","020019","62","4.55",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","МАСЛИНА  С.С.МАМУТ 71-90","020020","62","5.57",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","МАСЛИНА ЧЕРНА БЕЗ КОСТИЛКА 231-260 /2;4КГ/","020025","62","5.57",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","МАСЛИНА УСЛУ В ЗЕХТИН","020040","62","5.06",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","МАСЛИНА ТУРСКА НА ГРИЛ С ЧЕСЪН И СУШЕНИ ДОМАТИ /10/","020042","62","10.69",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","МАСЛИНА ТУРСКА ГЕМЛИК СТАФИДАТА  /1.5/","020044","62","12.27",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КРЕНВИРШИ КЕН","030015","26","6.08",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС ТЕЛЕШКИ ТАНДЕМ 300ГР","030019","27","3.02","1.99"
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС КАМЧИЯ ТАНДЕМ 300ГР","030020","27","3.02","1.99"
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС ХАМБУРГСКИ ТАНДЕМ 300ГР","030021","27","3.02","1.99"
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КРЕНВИРШИ ТАНДЕМ","030045","26","9.15",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КРЕНВИРШИ НАРОДЕН","030087","26","5.10",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","САЛАМ СУХ ШПЕК ТАНДЕМ 210ГР ВАК","030234","28","4.55",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","САЛАМ БУРГАС ТАНДЕМ 210ГР ВАК","030238","28","4.55",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","СВИНСКИ БУТ БЕЗ КОСТ","030365","19","5.37",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","СВИНСКА ПЛЕШКА БЕЗ КОСТ","030366","18","5.37",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС ХАМБУРГСКИ КЕН В ЕСТ. ОБВИВКА","030367","27","8.90",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","САЛАМ БУРГАС МАДЖАРОВ","030567","28","15.08",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КРЕНВИРШИ ЛЕКИ","030626","26","6.49",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","ТЕЛЕШКА ПЛЕШКА БЕЗ КОСТ ПЕПИ КОМЕРС","030640","24","14.06",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","СВИНСКИ ВРАТ БЕЗ КОСТ ПЕПИ КОМЕРС","030654","21","7.11",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС ХАМБУРГСКИ НАРОДЕН 300ГР","030858","27","1.84",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС ТЕЛЕШКИ НАРОДЕН 300ГР","030859","27","1.84",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС КАМЧИЯ НАРОДЕН 300ГР","030860","27","1.84",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС ТЕЛЕШКИ КЕН В ЕСТ. ОБВИВКА","031006","27","8.90",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС ХАМБУРГСКИ ДЕЛИКАТЕС ЖИТНИЦА ГАСТРО","031145","27","5.57",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КРЕНВИРШИ ДЕЛИКАТЕС ЖИТНИЦА","031146","26","6.03","4.99"
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КРЕНВИРШИ ОТ ПИЛЕШКО МЕСО МЕС-КО","031217","26","3.68",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС КАМЧИЯ КЕН 350ГР","031251","27","2.15",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС ХАМБУРГСКИ КЕН 350ГР","031253","27","2.15",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","САЛАМ БУРГАС ЧИЧОВЦИ 400ГР","031291","28","3.43",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС ХАМБУРГСКИ ТАНДЕМ В ЕСТ. ОБВИВКА","031410","27","10.17",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","КОЛБАС ТЕЛЕШКИ ТАНДЕМ В ЕСТ.ОБВИВКА","031411","27","10.17",""
"68134","БУРОВ СУПЕРА - УЛ. ПРАЖКА ПРОЛЕТ 1","САЛАМ ШПЕКОВ;БУРГАС ОРЕХИТЕ ГАСТРО","031414","28","14.90",""
