"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","БИРА БАЛКАНСКО 2.5Л","11101","74","1.48","1.48"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","БИРА ШУМЕНСКО СВЕТЛО 2Л","4631","74","1.84","1.84"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","Б-ТИ ОБИКНОВЕНИ РОДЕН КРАЙ ПРЕСТИЖ 120ГР","16424","66","0.74","0.74"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","Б-ТИ КРИСТАЛ ОБИКНОВЕНИ /СИНИ/ 130ГР","9507","66","0.69","0.69"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","БРАШНО МЛИН ТИП 500 1КГ","16193","40","0.84","0.84"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","СОФИЯ МЕЛ БРАШНО ЕКСТРА 1КГ","13357","41","1.28","1.28"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","СОФИЯ МЕЛ БРАШНО КЛАСИК 1КГ","16131","40","1.23","1.23"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ВЕРО ЕХО ЖЪЛТО ЛИМОН 400МЛ","12728","79","1.46","1.46"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ВЕРО ФЕЯ /4 ВИДА/ 400МЛ","658","79","0.97","0.97"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ВИНО Т-ЩЕ МЕРЛО 750МЛ.","794","76","4.09","4.09"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ВИНО Т-ЩЕ МУСКАТ 750МЛ.","819","75","3.78","3.78"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ВИНО СОФИЯ КАРНОБАТ МУСКАТ 750МЛ","20921","75","2.45","2.45"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ВИНО СОФИЯ КАРНОБАТ КАБЕРНЕ 750МЛ","17179","76","2.45","2.45"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","КРЕНВИРШИ БРАВО ПИЛЕШКИ /КГ","12399","26","3.83","3.83"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","АПТАМИЛ 2 ПРОНУТРА 800ГР","22941","65","25.51","25.51"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","МОКРИ КЪРПИ БЕБЕЛАН /3 ВИДА/ 80БР","24948","84","2.10","2.10"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ГАНЧЕВ МЛЕЧНА КАША БАНАН И БИСКВИТИ 190гр","2679","63","1.18","1.18"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","СЛЪНЧО КАША БАНАНОВА 200ГР.","4132","63","2.84","2.84"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ГАНЧЕВ ПЮРЕ АСОРТИ БАНАНИ 190ГР /к.222/","28309","64","1.12","1.12"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","МЕРИСА БОБ БЯЛ ЕДЪР 400ГР.","537","46","1.12","1.12"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ГРАХ ДЕРОНИ 400ГР","4721","47","1.84","1.84"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ДЕГУСТО ГРАХ 420ГР","18979","47","1.33","1.33"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ДЕРОНИ ДОМАТИ НА КУБЧЕТА 400ГР","6963","48","1.33","1.33"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ДЕГУСТО ДОМАТИ НА КУБЧЕТА 400ГР","13967","48","1.23","1.23"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","БЕЛЛА ВИТИ БАНИЧКИ СЪС СИРЕНЕ 8*60ГР","4671","68","2.04","2.04"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","КОРИ ТРАКИЙСКИ 400ГР","15895","5","1.38","1.38"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","КОРИ ФАМИЛИЯ 500ГР","4131","5","1.69","1.69"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","ЗАХАР СЛАДЕЯ Г. ОРЯХОВИЦА 1КГ.","1447","38","1.18","1.18"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","СОЛ СИВЕС 1КГ","10292","39","0.56","0.56"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","КАФЕ НОВА БРАЗИЛИЯ ПРИВИЛЕГИЯ ЗЪРНА 1КГ","15365","71","20.40","20.40"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","КАФЕ ЧИБО ЕКСКЛУЗИВ 250ГР.","1582","70","7.11","7.11"
"61710","Супермаркет Терамаркет - ул. Свети Климент 102","КАФЕ ЧИБО ФЕМИЛИ ЗЪРНА 1КГ","22253","71","25.51","25.51"
