"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ АРАЧИЕВИ КИРИЛОВО ТОСТ","000001","10","10.73",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ ЛУДОГОРИЕ","000002","10","9.19",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ СТАРА ПЛАНИНА РАЗЛОГ","000005","10","10.22",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ КАРАКАЧАНКА","000014","10","11.24",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ БАЛКАНСКИ ДАР","000016","10","9.70",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ ДЕСТАН 1КГ","000022","11","12.78",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ С ПОДПРАВКИ","000030","10","9.71",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ САКАРЕЛА ТОСТ","000036","10","10.22",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ АРАЧИЕВИ ПИТА 1КГ","000040","11","12.52",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ ЯМБОЛ","000045","10","8.99",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ НАБОРЪ","000082","10","10.22",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ СМОЛЯН","000086","10","9.70","5.95"
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ РОДОПЕЯ ПИТА","000091","10","12.27",""
"72624","БАЛИК - ул. Теменуга 6","КАШКАВАЛ ЧИРПАНСКИ ЧАНОВЕ ТОСТ","000111","10","9.70",""
"72624","БАЛИК - ул. Теменуга 6","ШПЕК ЕЛКО МЕС БУРГАС ВАКУУМ","001015","28","12.89",""
"72624","БАЛИК - ул. Теменуга 6","КРЕНВИРШИ ЧИЧОВЦИ","001020","26","3.93","3.29"
"72624","БАЛИК - ул. Теменуга 6","ШУНКА БИС 98 ГАСТРО","001047","27","8.69",""
"72624","БАЛИК - ул. Теменуга 6","ШПЕК МОСКОВСКИ ЕЛКО МЕС","001066","28","12.99",""
"72624","БАЛИК - ул. Теменуга 6","ШПЕК ПЕРЕЛИК ГАСТРО","001074","28","12.79",""
"72624","БАЛИК - ул. Теменуга 6","НАДЕНИЦА ФЕРМАТА ВАРЕНА","001095","27","3.98",""
"72624","БАЛИК - ул. Теменуга 6","НАДЕНИЦА ШУНКОВА ГРАДУС ОТ ПИЛЕШКО ФИЛЕ","001101","27","6.13",""
"72624","БАЛИК - ул. Теменуга 6","КРЕНВИРШИ НАРОДНИ ПИЛЕШКИ","001105","26","3.32",""
"72624","БАЛИК - ул. Теменуга 6","НАДЕНИЦА ЛЕКИ РОДОПСКА","001119","27","7.47",""
"72624","БАЛИК - ул. Теменуга 6","ШПЕК РИЛА 300Г НЕВАКУМ","001152","28","8.18",""
"72624","БАЛИК - ул. Теменуга 6","ШПЕК РИЛА ВАК","001153","28","8.18",""
"72624","БАЛИК - ул. Теменуга 6","ШУНКА БРАВО ОТ БУТ","001158","27","8.18",""
"72624","БАЛИК - ул. Теменуга 6","НАДЕНИЦА КРУМ МУШЕВ ЧУБРИКОВА","001163","27","4.85",""
"72624","БАЛИК - ул. Теменуга 6","КРЕНВИРШИ ЛЕКИ","001173","26","6.94",""
"72624","БАЛИК - ул. Теменуга 6","КРЕНВИРШИ НАРОДНИ","001175","26","5.14",""
"72624","БАЛИК - ул. Теменуга 6","НАДЕНИЦА ЛЕКИ ЛИОНСКА","001179","27","7.47",""
"72624","БАЛИК - ул. Теменуга 6","НАДЕНИЦА ЛЕКИ МАКЕДОНСКА","001180","27","7.47",""
"72624","БАЛИК - ул. Теменуга 6","ШПЕК НАРОДЕН БУРГАС ГАСТРО","001189","28","10.44",""
"72624","БАЛИК - ул. Теменуга 6","ГРАДУС ПИЛЕ ОХЛАДЕНО","001201","15","4.60",""
