"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","КЕН КРЕНВИРШ","000001","26","6.08",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","КЕН ДЕБЪРЦИН","000002","27","7.46",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","КЕН ЛИОНСКА НАДЕНИЦА","000003","27","6.90",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","КЕН КОЛБАС ТЕЛЕШКИ ЕСТ.ЧЕРВО","000006","27","8.79",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","БАНАНИ","000008","52","1.99",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","МАСЛИНИ КАЛИНА ЧЕРНИ БЕЗ КОСТ 101/110","000022","62","6.50","5.90"
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","ГЪБИ","000029","60","4.49",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","ДОМАТИ","000047","54","3.19",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","КЕН ШПЕК ДЕЛИКАТЕСЕН Ф70 ЧЕРЕН ЕТИКЕТ","000064","28","14.42",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","ЗЕЛЕ","000066","57","1.29",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","МОНИТА КАЙМА СМЕС","000120","25","5.68","4.90"
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","ЛЕКИ НАДЕНИЦА МАКЕДОНСКА","000127","27","6.90",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","КАШКАВАЛ КРАВЕ КУКЕРИ ВАК","000141","11","11.71",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","МАСЛИНИ УСЛУ В РАСТИТЕЛНО МАСЛО 201/260","000142","62","3.63",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","КЕН ШПЕК БУРГАС СИН ЕТИКЕТ","000147","28","10.07",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","КРАСТАВИЦИ","000149","58","3.49",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","ЯБЪЛКИ ЗЕЛЕНИ","000154","53","2.29",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","ЛЕКИ НАДЕНИЦА РОДОПСКА","000157","27","6.90",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","ЯБЪЛКИ ЖЪЛТИ БЪЛГАРИЯ","000158","53","1.59",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","ЛИМОНИ","000163","50","3.29",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","ЛУК","000171","55","0.79",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","ЯБЪЛКИ ЧЕРВЕНИ","000183","53","1.49",""
"35167","КАЗАНЛЪК - бул.Аександър Батенберг 1","КРЕНВИРШ НАРОДЕН","000192","26","4.70",""
