"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЦИГАРИ КОРСЕТ SS ЛИЛАК ХОЛОУ","68","78","3.60",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЦИГАРИ МЕРИЛИН ПИНК СЛИМ","70","78","3.35",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЦИГАРИ МЕРИЛИН БЛУ СЛИМ","72","78","3.35",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЦИГАРИ КИНГ РЕД КЛАСИК","73","78","3.07",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЦИГАРИ КИНГ РЕД 100","83","78","3.25",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЦИГАРИ КОРСЕТ SS ПИНК ХОЛОУ","141","78","3.22",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","КИСЕЛО МЛЯКО ЕЛЕНА 2 % 400ГР 112004","425","7","0.86",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","СПАГЕТИ СТЕЛА №10 500ГР","476","37","1.48","1.19"
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","СПАГЕТИ СПЕЦИАЛ СТЕЛА 500ГР","477","37","1.48","1.19"
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","МАКАРОНИ СПИРАЛИ/ФУСИЛИ/ВИДЕС СТЕЛА 500ГР","479","36","1.52",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","МАКАРОНИ МОЛИВИ/ПЕНЕС СТЕЛА 500ГР","480","36","1.52",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","МАКАРОНИ КУС КУС СТЕЛА 500ГР","481","36","1.52",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","МАКАРОНИ МИДИЧКИ/АХИВАДАКИ СТЕЛА 500ГР","505","36","1.52",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","МАКАРОНИ ТРИЦВЕТНИ ФУСИЛИ СТЕЛА 500ГР","509","36","1.94",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ХЛЯБ Т.РЪЖЕНО-ПШЕНИЧЕН САВИМЕКС 500ГР","623","3","1.47",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ХЛЯБ Т.ПШЕНИЧЕН БЯЛ САВИМЕКС 500ГР","625","1","1.47",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ХЛЯБ ДЕМЕА БЯЛ 650ГР 406 / 408 / 15009","638","1","1.04",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЧАЙ ШИПКА БИОПРОГРАМА 30ГР  /845","702","72","1.17",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЧАЙ УТРО БИОПРОГРАМА 30ГР / 827","705","72","0.97",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЧАЙ СТАРОПЛАНИНСКИ БИОПРОГРАМА 30ГР  /833","707","72","0.97",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЧАЙ АЛПИНИСТ БИОПРОГРАМА 30ГР  /826","709","72","0.97",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЧАЙ ЛАЙКА БИОПРОГРАМА 30ГР  /830","711","72","1.07",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЧАЙ МЕНТА БИОПРОГРАМА 30ГР  /831","712","72","1.07",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЧАЙ КАРКАДЕ БИОПРОГРАМА 30ГР  /828","713","72","1.73",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЧАЙ ВЪЛШЕБНИК БИОПРОГРАМА 30ГР  /844","714","72","1.43",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ВИНО ЛОГОДАЖ КЕРАЦУДА 750МЛ","840","75","3.99",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ВИНО ЛОГОДАЖ ШИРОКА МЕЛНИШКА ЛОЗА 750МЛ","841","76","4.79",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ВИНО МЕЛНИК 55 РАННА МЕЛНИШКА ЛОЗА 750МЛ","846","76","8.49",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ОЛИО КАЛИАКРА 1Л / 10088","850","42","2.17",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","БОБ ЗЕЛЕН МИСОТА 720МЛ   3189","942","46","2.04",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ГРАХ ПРЕСЕН БУРКАН МИСОТА 720МЛ  3172","943","47","2.25",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ОЛИО БИСЕР 1Л / 17468","1040","42","2.17",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЧЗ КОЛГЕЙТ ПРЕМИЕР КЛИЙН / 178","1099","80","1.17",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ПРЯСНО МЛЯКО ВЕРЕЯ 3% 1Л","1302","6","1.73",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЛЮТЕНИЦА ЕДРОСМЛЯНА ДОМАШНА ДЕРОНИ 520ГР","1326","49","3.93","3.53"
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЛЮТЕНИЦА ТРАДИЦИОННА ДЕРОНИ 520ГР","1375","49","3.06",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ЛЮТЕНИЦА ДОМАШНА ДЕРОНИ 525ГР","1380","49","3.06",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ГРАХ ЗЕЛЕН ЛЕДА 400ГР","1389","47","1.48",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","КИСЕЛО МЛЯКО ВЕРЕЯ 2,9% 400ГР","1512","7","0.84",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","ВИНО ЧЕРГА ЧЕРВЕНО 750МЛ","1575","76","7.98",""
"10135","СУПЕРМАРКЕТ ВАРНЕНЧИК - ГР. ВАРНА  КВ. ВЛАДИСЛАВ ВАРНЕНЧИК БЛ. 55 ВХ.1","РАКИЯ КАРНОБАТ ГРОЗДОВА 700МЛ  /41725","1589","77","7.28",""
