"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"51500","Гранд Маркет Жанет","МАСЛИНИ ЕФЕС ЧЕРНИ В САЛАМУРА 201-260 ЩАНД КГ","2800062","62","2.86","0"
"51500","Гранд Маркет Жанет","ЛИМОН ПРОИЗХОД ТУРЦИЯ КГ","2800155","50","2.76","2.76"
"51500","Гранд Маркет Жанет","БАНАН ПРОИЗХОД ЕКВАДОР КГ","2800156","52","2.04","1.69"
"51500","Гранд Маркет Жанет","ГЪБА ПРОИЗХОД ПОЛША КГ","2800175","60","4.28","4.28"
"51500","Гранд Маркет Жанет","ЛУК КАБА ПРОИЗХОД АВСТРИЯ КГ","2800176","55","0.73","0.73"
"51500","Гранд Маркет Жанет","ПИЛЕ ЛУДОГОРСКО ЛУКС ТАРЕЛКА ОХЛАДЕНО ПРОИЗХОД БЪЛГАРИЯ ЩАНД КГ","2800668","15","3.98","3.98"
"51500","Гранд Маркет Жанет","КАШКАВАЛ ЕЛЕНА КРАВЕ 250ГР","2800737","11","13.6","0"
"51500","Гранд Маркет Жанет","МЛЯНО МЕСО СМЕС ЖАНЕТ 60/40 ПРОИЗХОД БЪЛГАРИЯ ЩАНД            КГ","2800830","25","7.13","0"
"51500","Гранд Маркет Жанет","ВИНО РИЗЛИНГ ТЪРГОВИЩЕ 0.75Л","3800009401894","75","4.09","0"
"51500","Гранд Маркет Жанет","МАСЛИНИ ИМПЕРИАЛ ОЛИВС ЗЕЛЕНИ ГИГАНТ 141-160 ЩАНД КГ","2801240","62","5.45","0"
"51500","Гранд Маркет Жанет","МАСЛИНИ АНТ ЧЕРНИ НАРЯЗАНИ ГЪРЦИЯ ЩАНД КГ","2801334","62","6.08","0"
"51500","Гранд Маркет Жанет","ЧАЙ БИОПРОГРАМА СЕНА 20Х1.5ГР","002655","72","0.86","0"
"51500","Гранд Маркет Жанет","ЧАЙ БИОПРОГРАМА ПРЕМИУМ КЛАСИКА БАЛКАНСКИ 20БР ","002656","72","1.95","0"
"51500","Гранд Маркет Жанет","СВИНСКИ ДЖОЛАН БЕЗ КОСТ ПРОИЗХОД БЪЛГАРИЯ ЩАНД КГ","2802697","20","4.9","0"
"51500","Гранд Маркет Жанет","МАСЛИНИ УСЛУ ЧЕРНИ В МАСЛИНОВО МАСЛО ЩАНД КГ","2805000","62","3.55","0"
"51500","Гранд Маркет Жанет","ПИЛЕШКИ БУТ ОХЛАДЕН ПРОИЗХОД БЪЛГАРИЯ ЩАНД КГ","2805010","17","3.23","0"
"51500","Гранд Маркет Жанет","КАШКАВАЛ БЪЛГАРСКИ ЙОГУРТ КРАВЕ ~250ГР","2805679","11","11.01","0"
