"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"14218","магазин 2+2 Габрово Младост","банан КЗ","s00201","52","1.89","0.00"
"14218","магазин 2+2 Габрово Младост","бира Загорка специално 2 л. КЗ","s3800022402021","74","1.53","1.39"
"14218","магазин 2+2 Габрово Младост","бисквити Изгрев 190 гр. обикновени сини КЗ","s3800008600540","66","0.86","0.00"
"14218","магазин 2+2 Габрово Младост","боб Клио 540гр. бял буркан КЗ","s8410268002838","46","1.32","0.00"
"14218","магазин 2+2 Габрово Младост","боб Натура 1кг. екстра КЗ","s3800225663076","33","2.99","0.00"
"14218","магазин 2+2 Габрово Младост","брашно Софимел Екстра 1 кг. КЗ","s3800019102132","41","1.22","0.00"
"14218","магазин 2+2 Габрово Младост","бяло вино Керацуда логодаж 0.750л. КЗ","s3800097109269","75","3.06","0.00"
"14218","магазин 2+2 Габрово Младост","веро Ехо 400мл. КЗ","s3800024046650","79","1.53","0.00"
"14218","магазин 2+2 Габрово Младост","винен оцет 0.700 л.В.Търново КЗ","s3800084604067","44","1.53","0.00"
"14218","магазин 2+2 Габрово Младост","вити банички Белла 480гр. със сирене КЗ","s3800047700133","68","2.30","0.00"
"14218","магазин 2+2 Габрово Младост","грах Клио 720гр. буркан КЗ","s4840748004351","47","1.84","0.00"
"14218","магазин 2+2 Габрово Младост","домат К","s00310","54","3.29","0.00"
"14218","магазин 2+2 Габрово Младост","домати на кубчета Филикон 400 гр. КЗ","s3800014226017","48","1.12","0.00"
"14218","магазин 2+2 Габрово Младост","захар Г. Оряховица 1 кг. КЗ","s3800217142039","38","1.12","0.00"
"14218","магазин 2+2 Габрово Младост","зеле КЗ","s00300","57","0.92","0.00"
"14218","магазин 2+2 Габрово Младост","зехтин Александър 1л. КЗ","s5202272000374","43","7.97","0.00"
"14218","магазин 2+2 Габрово Младост","извара Олимпус 400гр. КЗ","s5202178000775","14","2.14","0.00"
"14218","магазин 2+2 Габрово Младост","кафе Лаваца 1кг. суерте зърна КЗ","s8000070021747","71","20.45","0.00"
"14218","магазин 2+2 Габрово Младост","Кафе Нова Бразилия 200 гр. класик КЗ","s3800005182056","70","4.34","0.00"
"14218","магазин 2+2 Габрово Младост","кашкавал Боженци 220 гр. КЗ","s3800207821098","11","2.81","0.00"
"14218","магазин 2+2 Габрово Младост","Кинг 100 червен КЗ","s3800221968663","78","3.25","0.00"
"14218","магазин 2+2 Габрово Младост","кисело мляко Елена 2 пр. КЗ","s3800201451147","7","0.71","0.00"
"14218","магазин 2+2 Габрово Младост","кори за баница Тракийски 400 гр. КЗ","s3800047707095","5","1.43","0.00"
"14218","магазин 2+2 Габрово Младост","краве масло 125 гр. Вълчев КЗ","s3800209300034","12","1.39","0.00"
"14218","магазин 2+2 Габрово Младост","краве сирене Верея 200 гр. КЗ","s3800748060697","9","3.16","0.00"
"14218","магазин 2+2 Габрово Младост","краставица КЗ","s00301","58","2.49","0.00"
"14218","магазин 2+2 Габрово Младост","кроасан Бест 50гр. какао КЗ","s5208077910016","67","0.35","0.00"
"14218","магазин 2+2 Габрово Младост","леща Крина 1 кг. екстра КЗ","s3800106402008","34","3.57","0.00"
"14218","магазин 2+2 Габрово Младост","лимон КЗ","s00204","50","3.19","0.00"
"14218","магазин 2+2 Габрово Младост","лук КЗ","s00304","55","0.80","0.00"
"14218","магазин 2+2 Габрово Младост","Лютеница Дерони домашна финносмляна 525 гр. КЗ","s3800740031510","49","3.37","0.00"
"14218","магазин 2+2 Габрово Младост","макарони Златен клас 400 гр. миди К","s3800014640103","36","0.64","0.00"
"14218","магазин 2+2 Габрово Младост","маслини Ефес 201-260 в зехтин К","s00156","62","5.36","0.00"
"14218","магазин 2+2 Габрово Младост","минерална вода Велинград 1.5л. К","s3800091500130","73","0.54","0.00"
"14218","магазин 2+2 Габрово Младост","мляко НАН 1 Оптипро 400 гр. К","s7613036363211","65","9.71","0.00"
"14218","магазин 2+2 Габрово Младост","мокри кърпи Тренди 72бр. с капак К","s3800144801368","84","1.00","0.00"
"14218","магазин 2+2 Габрово Младост","морков К","s00305","56","1.05","0.00"
"14218","магазин 2+2 Габрово Младост","олио Кехлибар 1л. К","s3800103610017","42","2.14","0.00"
"14218","магазин 2+2 Габрово Младост","оцет ябълков 0.700 л. В.Търново К","s3800084605064","45","1.29","0.00"
"14218","магазин 2+2 Габрово Младост","паста за зъби Колгейт 50 мл. тройно действие К","s6920354839016","81","0.97","0.00"
"14218","магазин 2+2 Габрово Младост","портокал К","s00202","51","1.79","0.00"
"14218","магазин 2+2 Габрово Младост","пресни картофи К","s00317","61","0.95","0.00"
"14218","магазин 2+2 Габрово Младост","прясно мляко Горна Росица 1л. 2 пр. К","s3800217252592","6","1.32","0.00"
"14218","магазин 2+2 Габрово Младост","ракия Карнобатска 0,7л. К","s3800008906024","77","7.69","0.00"
"14218","магазин 2+2 Габрово Младост","салам Телешки Народен 320гр. К","s3800206520268","27","2.09","0.00"
"14218","магазин 2+2 Габрово Младост","салам Чичовци 330 гр. пресен шпек К","s3800779030720","28","3.16","0.00"
"14218","магазин 2+2 Габрово Младост","сапун Dove 90гр. К","s8717163607268","83","1.12","0.00"
"14218","магазин 2+2 Габрово Младост","свински врат без кост Троянска скара К","s00657","21","11.24","0.00"
"14218","магазин 2+2 Габрово Младост","сол Клио екстра 1кг. К","s38011986","39","0.51","0.00"
"14218","магазин 2+2 Габрово Младост","спагети Стела 500 гр. №10 К","s5201193186013","37","1.39","0.00"
"14218","магазин 2+2 Габрово Младост","хляб Нектар 650 гр. фолиран К","s3800204390269","1","0.89","0.00"
"14218","магазин 2+2 Габрово Младост","хляб типов Мелничарски с квас Нектар 500 гр. К","s3800204390160","4","1.05","0.00"
"14218","магазин 2+2 Габрово Младост","хляб Тостер ръжен 500 гр. К","s3800082911303","3","1.19","0.00"
"14218","магазин 2+2 Габрово Младост","ч. вино Вила Ямбол 0,750 л. мавруд К","s3800206569540","76","4.34","0.00"
"14218","магазин 2+2 Габрово Младост","Чай БЧК мента К","s3800222790065","72","1.12","0.00"
