"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","МАСЛО КРАВЕ PRESIDENT 125 ГР","001139","12","4.09",""
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","СИРЕНЕ КРАВЕ Ф ВКУС ВАКУУМ БЯЛО САЛАМУРЕНО","001562","9","5.99",""
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","КАШКАВАЛ ОТ КРАВЕ МЛЯКО Ф ВКУС НАСИПЕН Б-Я","001567","10","7.66",""
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","ШОЛ ТЕЛЕШКИ  ПЕПИ КОМЕРС ДАР, ПР-Д БЪЛГАРИЯ","001815","23","16.36",""
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","ХАПКИ ТЕЛЕШКИ ПЕПИ КОМЕРС ДАР, ПР-Д БЪЛГАРИЯ","001820","24","12.78","11.79"
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","БУТ СВИНСКИ БЕЗ КОСТ БИЛЯНА-МЕС ДАР, ПР-Д БЪЛГАРИЯ","001832","19","6.08",""
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","МАСЛО КРАВЕ DEUTSCHE MARKENBUTTER 250 ГР КРАВАРКА","001841","12","3.78",""
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","МАСЛО КРАВЕ ФРЕНСКО PRESIDENT 250 ГР ПАКЕТ","001895","12","7.89",""
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","ВРАТ СВИНСКИ БЕЗ КОСТ ПРОИЗХОД ИСПАНИЯ МИЛКИ БИО ДАР","001917","21","7.66",""
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","ВРАТ СВИНСКИ С КОСТ ПРОИЗХОД БЪЛГАРИЯ БИЛЯНА-МЕС","001927","21","6.39",""
"68134","Ф13 - УЛ. ШИПЧЕНСКИ ПРОХОД №46","ВРАТ СВИНСКИ С КОСТ ПРОИЗХОД БЪЛГАРИЯ МК БРАТЯ РАДЕВИ","002013","21","6.39",""
