"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"17395"," FRESH MARKET","Мокри кърпи Малива 72бр","10020","84","1.05",""
"17395"," FRESH MARKET","Занаятчийски хляб Многозърнест/Лимец/Немски 400гр","10040","4","1.30",""
"17395"," FRESH MARKET","Деликатесен продукт Дянково вакум","10041","9","2.99",""
"17395"," FRESH MARKET","Хляб Иванов Грахам 500гр.","10104","4","1.04",""
"17395"," FRESH MARKET","Кашкавал БДС Пирин вакум Предел","10169","10","11.50",""
"17395"," FRESH MARKET","Кашкавал Домлян БДС 400гр","10230","11","5.42",""
"17395"," FRESH MARKET","Сирене Тера 800гр метална кутия","10245","11","8.85",""
"17395"," FRESH MARKET","Бял боб Весу 400гр","10326","46","0.84",""
"17395"," FRESH MARKET","Боб черен Кампезе 400гр","10327","46","1.12",""
"17395"," FRESH MARKET","Лютеница Тодорка едросмляна домашна 570гр","10379","49","2.81",""
"17395"," FRESH MARKET","Маслен боб Vesu 400гр","10454","46","0.92",""
"17395"," FRESH MARKET","Маслиново масло Минерва 1л","10478","43","9.61",""
"17395"," FRESH MARKET","Грах Дегусто 420гр","10513","47","1.35",""
"17395"," FRESH MARKET","Бял боб консерва Фамилекс 400гр","10570","46","0.79",""
"17395"," FRESH MARKET","Домати на кубчета Кръстев 400гр","10580","48","1.05",""
"17395"," FRESH MARKET","Маслини Гемлик Селе 800гр.","10605","62","7.50",""
"17395"," FRESH MARKET","Червен боб Дегусто 400гр.","10792","46","1.07",""
"17395"," FRESH MARKET","Краставици ","108","58","3.00",""
"17395"," FRESH MARKET","Бял боб консерва Крина 400гр","10934","46","0.69",""
"17395"," FRESH MARKET","Маслен боб консерва Крина 400гр","10935","46","0.74",""
"17395"," FRESH MARKET","Червен боб консерва Крина 400гр","10936","46","0.74",""
"17395"," FRESH MARKET","Грах Тат консерва 420гр.","10938","47","0.95",""
"17395"," FRESH MARKET","Кашкавал Родопчанка Полумесец","11","10","9.82",""
"17395"," FRESH MARKET","Червени домати","110","53","2.88",""
"17395"," FRESH MARKET","Мокри кърпи Мерси 120бр.","11035","84","0.86",""
"17395"," FRESH MARKET","Хляб Сатовча ръчен селски,царевичен, типов","11038","3","1.04",""
"17395"," FRESH MARKET","Хляб Бонус Живот 700гр.","11047","1","0.87",""
"17395"," FRESH MARKET","Шампоан Syoss 440/500мл.","1106","82","4.19",""
"17395"," FRESH MARKET","Четка за зъби Trisa Focus","1107","80","0.97",""
"17395"," FRESH MARKET","Четка за зъби Trisa Perfect/Bracket","1108","80","2.45",""
"17395"," FRESH MARKET","Четка за зъби Trisa FeelGood 2бр","1109","80","2.30",""
"17395"," FRESH MARKET","Моркови","111","56","1.14",""
"17395"," FRESH MARKET","Четка за зъби Difas Bamboo ","1112","80","2.15",""
"17395"," FRESH MARKET","Телешки кренвирши Браво","11125","26","5.22",""
"17395"," FRESH MARKET","Бира Загорка 2л","11171","74","1.51",""
"17395"," FRESH MARKET","Кроасани  Елмас Макс 80гр","11179","67","0.56",""
"17395"," FRESH MARKET","Портокали Фреш","112","51","1.40",""
"17395"," FRESH MARKET","Краве масло 125гр. Бор-Чвор","11211","12","1.99",""
"17395"," FRESH MARKET","Пълнозърнести кори Белла 400гр","11215","5","1.76",""
"17395"," FRESH MARKET","Краве масло 250гр. Бор-Чвор","11234","12","3.83",""
"17395"," FRESH MARKET","Прясно мляко Булгарче 3.2% 1л","11241","6","1.18",""
"17395"," FRESH MARKET","Пасти за зъби Дентал Дрийм 75мл","11243","81","1.76",""
"17395"," FRESH MARKET","Кроасани Без захар Антонели 42гр","11251","67","0.66",""
"17395"," FRESH MARKET","Паста за зъби Oral-B PRO 75мл","11268","81","2.30",""
"17395"," FRESH MARKET","Паста за зъби Oral-B Comp+ 75мл","11269","81","1.74",""
"17395"," FRESH MARKET","Лимони ","113","50","2.50",""
"17395"," FRESH MARKET","Феъри за съдове 450мл","11386","79","1.53",""
"17395"," FRESH MARKET","Лютеница едросмляна Божурка 550","11398","49","4.60",""
"17395"," FRESH MARKET","Райска Ябълка ","114","53","1.84",""
"17395"," FRESH MARKET","Олио Фамилекс 1л Drop Stop","11432","42","1.69",""
"17395"," FRESH MARKET","Масло Моето Здраве 250гр","11443","12","4.19",""
"17395"," FRESH MARKET","Краве сирене Мургаш 500гр мет.кут.","11552","9","5.01",""
"17395"," FRESH MARKET","Жълти Ябълки ","116","53","1.89",""
"17395"," FRESH MARKET","Четка за зъби Trisa 2бр + паста","1160","80","2.63",""
"17395"," FRESH MARKET","Четка за зъби Trisa детска 3-6 години","1161","80","2.25",""
"17395"," FRESH MARKET","Паста за зъби Колгейт Max White Crystal 125мл.","1162","80","3.53",""
"17395"," FRESH MARKET","Четка за зъби Trisa ултра софт/Flexible","1163","80","1.53",""
"17395"," FRESH MARKET","Четка за зъби Trisa Flexible 2бр.","1165","80","0.82",""
"17395"," FRESH MARKET","Обикновени бисквити Кристал без захар 130гр","11658","66","0.77",""
"17395"," FRESH MARKET","Четка за зъби Trisa pearl soft/Matrix","1167","80","1.05",""
"17395"," FRESH MARKET","Зелени Ябълки ","117","53","0.99",""
"17395"," FRESH MARKET","Мокри кърпи Бебелан 80бр","11756","84","1.89",""
"17395"," FRESH MARKET","Талиатели Ариги 500гр","11789","36","1.79",""
"17395"," FRESH MARKET","Деликатесен салам Молерите 220гр","11801","28","3.83",""
"17395"," FRESH MARKET","Оцет Ябълков Крина 700мл","11817","45","1.10",""
"17395"," FRESH MARKET","Инстантни спагети Reeva 5бр","11819","36","2.02",""
"17395"," FRESH MARKET","Краве сирене Саяна кутия 400 гр.","11836","9","3.27",""
"17395"," FRESH MARKET","Паста за зъби Колгейт Макс Фреш 100мл./Charcoal 75мл","1189","81","1.79",""
"17395"," FRESH MARKET","Кафе Борбоне 1кг","11896","71","14.42",""
"17395"," FRESH MARKET","Краве сирене Саяна 800гр кутия","11930","9","5.87",""
"17395"," FRESH MARKET","Бял хляб Неврокопски 700гр.","11951","1","1.05",""
"17395"," FRESH MARKET","Зехтин Екстра Върджин Елиа 1л","11984","43","11.71",""
"17395"," FRESH MARKET","Краве сирене Осиково вакуум","1226","9","7.67",""
"17395"," FRESH MARKET","Четка за зъби Астера","1260","80","1.30",""
"17395"," FRESH MARKET","Паста за зъби Астера 100/110мл.","1287","81","1.20",""
"17395"," FRESH MARKET","Четка за зъби  Аквафреш стандарт","1291","80","0.72",""
"17395"," FRESH MARKET","Четка за зъби  Аквафреш Everyday/clean","1292","80","1.69",""
"17395"," FRESH MARKET","Четка за зъби Аквафреш 2бр/3бр clean&flex","1293","80","2.04",""
"17395"," FRESH MARKET","Четка за зъби Аквафреш динамик","1294","80","0.92",""
"17395"," FRESH MARKET","Шампоан Стилена 400мл.","1295","82","1.64",""
"17395"," FRESH MARKET","Паста за зъби Аквафреш 125мл синя/зелена/хербал/лилава","1296","81","1.89",""
"17395"," FRESH MARKET","Четка за зъби Oral-B 3D Fresh","1315","80","1.89",""
"17395"," FRESH MARKET","Кромид Лук","133","55","0.78",""
"17395"," FRESH MARKET","Паста за зъби Астера 150мл.","1330","81","1.64",""
"17395"," FRESH MARKET","Чесън","135","59","4.50",""
"17395"," FRESH MARKET","Фея 400мл","1356","79","0.84",""
"17395"," FRESH MARKET","Детска паста Sensodyne 2+6г / 6-12г","1359","81","3.02",""
"17395"," FRESH MARKET","Шампоан Head & Shoulders 200мл.","13655","82","2.20",""
"17395"," FRESH MARKET","Четка за зъби Trisa Baby 0-3г","1366","80","1.64",""
"17395"," FRESH MARKET","Четка за зъби Trisa детска 6+","1367","80","2.45",""
"17395"," FRESH MARKET","Вешелица","1373","19","6.90",""
"17395"," FRESH MARKET","Четка за зъби Sensodyne Genitle Care","1397","80","3.63",""
"17395"," FRESH MARKET","Шампоан Wash&Go 360мл","1407","82","2.66",""
"17395"," FRESH MARKET","Паста за зъби Бочко банан/ягода","1421","81","1.64",""
