"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","СВИНСКИ БУТ","771","19","6.13",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","ТЕЛЕШКО ЗА ГОТВЕНЕ","727","24","10.98",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","ВРАТ БЕЗ КОСТ","724","21","8.18",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","ВРАТ С КОСТ","700","21","7.66",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","КАЙМА СМЕС","720","25","7.41",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","МЕСО ЗА ГОТВЕНЕ","706","22","6.39",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","ПЛЕШКА","704","18","6.13",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","ОХЛ. ПИЛ. БУТЧЕ НАНЮК","102","17","3.78",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","ВРАТ ПАПРИКОВАН","715","21","9.15",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","ТЕЛЕШКИ ШОЛ","705","23","12.00",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","СВИНСКИ ВРАТ С МАСЛО","768","21","8.38",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","ОХЛ. ПИЛ. ФИЛЕ","153","16","7.66",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","ОХЛ.ПИЛ.БУТЧЕ","138","17","3.27",""
"66915","Магазин Пълдин ""1"" №001, с. Скутаре, ул.Христо Ботев 25","ОХЛ.ПИЛЕ","105","15","4.34",""
