"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"21052","Димитровград булевард Трети март 4","СВ.МЕСО ЗА ГОТВЕНЕ","201","22","4.30",""
"21052","Димитровград булевард Трети март 4","СВ.БУТ ЗА ПЕЧЕНЕ","209","19","4.60",""
"21052","Димитровград булевард Трети март 4","СВ.ВРАТ ЦЯЛ","212","21","6.08",""
"21052","Димитровград булевард Трети март 4","ПИЛ.БУТЧЕ","250","17","2.70",""
"21052","Димитровград булевард Трети март 4","ПИЛ.ФИЛЕ","264","16","7.15",""
"21052","Димитровград булевард Трети март 4","ПИЛЕТА 1 7 КГ.","268","15","3.15",""
"21052","Димитровград булевард Трети март 4","РИБА СКУМРИЯ","313","29","5.99",""
"21052","Димитровград булевард Трети март 4","СИРЕНЕ СИТОВО","350","8","6.39",""
"21052","Димитровград булевард Трети март 4","СИРЕНЕ ДАЛИЯ","351","8","6.52",""
"21052","Димитровград булевард Трети март 4","СИРЕНЕ БМК","352","8","5.98",""
"21052","Димитровград булевард Трети март 4","СИРЕНЕ ДОМАШНО САЯНА","356","8","7.02",""
"21052","Димитровград булевард Трети март 4","КАШКАВАЛ СИТОВО","359","10","10.00",""
"21052","Димитровград булевард Трети март 4","КАШКАВАЛ ЗЛАТОГРАД","360","10","10.89",""
"21052","Димитровград булевард Трети март 4","КАШКАВАЛ САКАРЕЛА","361","10","7.90",""
"21052","Димитровград булевард Трети март 4","КАШКАВАЛ ПОЛСКИ","362","10","7.35",""
"21052","Димитровград булевард Трети март 4","КИСЕЛО МЛЯКО СИТОВО","368","7","0.77",""
"21052","Димитровград булевард Трети март 4","ПРЯСНО МЛЯКО СИТОВО","370","6","1.29",""
"21052","Димитровград булевард Трети март 4","СИРЕНЕ КРАВЕ ЕЗЕРОВО КОФА","374","8","9.40",""
"21052","Димитровград булевард Трети март 4","СИРЕНЕ МОКРЕН","377","8","5.83",""
"21052","Димитровград булевард Трети март 4","КАШКАВАЛ НАБОРЪ САЯНА","389","10","7.35",""
"21052","Димитровград булевард Трети март 4","КАШКАВАЛ ВЕЧНА МЛАДОСТ","392","10","8.31",""
"21052","Димитровград булевард Трети март 4","КАШКАВАЛ ЗАНАЯТЧИЙСКИ САКАРЕЛА","397","10","6.50",""
"21052","Димитровград булевард Трети март 4","ТЕЧ ЕКСТРА МЕС","414","27","5.11",""
"21052","Димитровград булевард Трети март 4","ХЕЧ ЕКСТРА МЕС","415","27","5.11",""
"21052","Димитровград булевард Трети март 4","ШПЕК ГАСТРО ЕКСТРА МЕС","425","28","8.63",""
"21052","Димитровград булевард Трети март 4","ПИЛ.КРЕНВИРШ МАЛЕВЕНТУМ","453","26","3.26",""
"21052","Димитровград булевард Трети март 4","ШПЕК НА МЕТЪР МАЛЕВЕНТУМ","461","28","5.58",""
"21052","Димитровград булевард Трети март 4","МАЙСТОРСКИ ШПЕК ЕМ","505","28","10.12",""
"21052","Димитровград булевард Трети март 4","МОСКОВСКИ ШПЕК ЕЛКО","506","28","9.70",""
"21052","Димитровград булевард Трети март 4","ШПЕК КРАКОВСКИ САРАНДИЕВ","517","28","6.90",""
"21052","Димитровград булевард Трети март 4","ОЛИО","563","42","2.09",""
"21052","Димитровград булевард Трети март 4","ЗЕХТИН 1Л","565","43","5.52",""
"21052","Димитровград булевард Трети март 4","ЛЮТЕНИЦА ДОМАШНА ТРАДИЦИОННА ДЕРОНИ 525гр","594","49","1.99",""
"21052","Димитровград булевард Трети март 4","ЛЮТЕНИЦА ЕДРОСМЛЯНА ДЕРОНИ 520ГР","596","49","4.00",""
"21052","Димитровград булевард Трети март 4","ГРАХ ДЕРОНИ 400ГР.","597","47","1.02",""
"21052","Димитровград булевард Трети март 4","ДОМАТИ НА КУБЧЕТА ДЕРОНИ","598","48","0.77",""
"21052","Димитровград булевард Трети март 4","ЛЮТЕНИЦА СТАРОС.ЕДРОСМЛ.ДЕРОНИ 0 520","614","49","4.60",""
"21052","Димитровград булевард Трети март 4","ЛЮТЕНИЦА ПЕТЕЛ ДОМАШНА 575ГР.","629","49","1.97",""
"21052","Димитровград булевард Трети март 4","ЛЮТ.ПЪРВОМАЙ 525ГР.","637","49","2.40",""
"21052","Димитровград булевард Трети март 4","ЛЮТЕНИЦА ПЕТЕЛ ТРАДИЦ.575ГР.","639","49","1.38",""
"21052","Димитровград булевард Трети март 4","ЛЮТ.ТОДОРКА ЕДРОСМЛ.570ГР.","644","49","2.38",""
"21052","Димитровград булевард Трети март 4","МАКАРОНИ КУЛИНАРИЯ ДЕРОНИ 400ГР","656","36","1.15",""
"21052","Димитровград булевард Трети март 4","СОЛ ФИОРЕ/ШЕРИ/КРИНА","931","39","0.50",""
"21052","Димитровград булевард Трети март 4","ШПЕК САНДВИЧ БОНИ","960","28","3.95",""
"21052","Димитровград булевард Трети март 4","КРЕНВИРШ БОНИ","962","26","5.40",""
"21052","Димитровград булевард Трети март 4","КАМЧИЯ КЕН","974","27","2.25",""
"21052","Димитровград булевард Трети март 4","ТЕЛЕШКИ КЕН","975","27","2.25",""
"21052","Димитровград булевард Трети март 4","КРЕНВИРШ КЕН","976","26","6.35",""
"21052","Димитровград булевард Трети март 4","КРЕНВИРШ ТОСКА","990","26","5.75",""
"21052","Димитровград булевард Трети март 4","БУРГАС РОНИ","995","28","12.55",""
"21052","Димитровград булевард Трети март 4","ШПЕК БУРГАС ГАСТРО ЕЛКО","1005","28","9.35",""
"21052","Димитровград булевард Трети март 4","ДЕЛИКАТЕСЕН САЛАМ ЕЛКО","1006","28","11.39",""
"21052","Димитровград булевард Трети март 4","ШПЕК КЛАСИК ГАСТРО ОРЕХИТЕ","1017","28","15.00",""
"21052","Димитровград булевард Трети март 4","ШПЕК БУРГАС ОРЕХИТЕ","1018","28","3.75",""
"21052","Димитровград булевард Трети март 4","ШПЕК КЛАСИК ОРЕХИТЕ","1019","28","3.60",""
"21052","Димитровград булевард Трети март 4","КРЕНВИРШ ЛЕКИ","1026","26","6.00",""
"21052","Димитровград булевард Трети март 4","ТЕЛЕШКИ ФЕРМАТА 750ГР.","1027","27","2.80",""
"21052","Димитровград булевард Трети март 4","КАМЧИЯ ФЕРМАТА 750ГР.","1028","27","2.80",""
"21052","Димитровград булевард Трети март 4","ХАМБУРГСКИ ФЕРМАТА 750ГР.","1029","27","2.80",""
"21052","Димитровград булевард Трети март 4","ШПЕК БУРГАС НАРОДЕН","1030","28","2.55",""
"21052","Димитровград булевард Трети март 4","ШПЕК КЛАСИК НАРОДЕН","1031","28","2.55",""
"21052","Димитровград булевард Трети март 4","ТЕЛЕШКИ НАРОДЕН","1032","27","1.80",""
"21052","Димитровград булевард Трети март 4","КАМЧИЯ НАРОДЕН","1034","27","1.80",""
"21052","Димитровград булевард Трети март 4","ХАМБУРГСКИ НАРОДЕН","1036","27","1.80",""
"21052","Димитровград булевард Трети март 4","КРЕНВИРШ НАРОДЕН","1038","26","5.00",""
"21052","Димитровград булевард Трети март 4","ШПЕК КЛ.ГАСТРО НАРОДЕН","1039","28","9.00",""
"21052","Димитровград булевард Трети март 4","КАМЕНИЦА 2Л.","1252","74","1.75",""
"21052","Димитровград булевард Трети март 4","БУРГАСКО 2Л.","1257","74","1.55",""
"21052","Димитровград булевард Трети март 4","АСТИКА 2Л.","1262","74","1.55",""
"21052","Димитровград булевард Трети март 4","АРИАНА СВЕТЛО 2Л.","1292","74","1.65",""
"21052","Димитровград булевард Трети март 4","ШУМЕНСКО 2Л.","1302","74","1.75",""
"21052","Димитровград булевард Трети март 4","ПИРИНСКО 2Л.","1308","74","1.75",""
"21052","Димитровград булевард Трети март 4","ПРЯСНО МЛЯКО РОДОПСКО 3 2%","1321","6","1.00",""
"21052","Димитровград булевард Трети март 4","ПРЯСНО МЛЯКО 1 6%","1325","6","1.15",""
"21052","Димитровград булевард Трети март 4","КИСЕЛО МЛЯКО ДОБРОТИЦА 3 6%","1329","7","0.61",""
"21052","Димитровград булевард Трети март 4","КИСЕЛО МЛЯКО ДОБРОТИЦА 2%","1330","7","0.89",""
"21052","Димитровград булевард Трети март 4","КИСЕЛО МЛ.КРАВЕ КОФИЧКА ЕЗЕРОВО","1332","7","0.80",""
