"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","АЦЦ 200 ПРАХЧЕТА 200МГ Х 20","95","99","6.90",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ВОЛТАРЕН Рет. табл. 100мг х 10","238","95","1.34",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ВОЛТАРЕН супоз. 100мг х 5","239","95","3.37",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ВОЛТАРЕН табл. 25мг х 30","241","95","1.47",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ВОЛТАРЕН табл. 50мг х 20","242","95","1.78",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ДИКЛОФЕНАК ДУО капс. 75мг х 30","359","95","5.39",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","НАКЛОФЕН ДУО капс. 75мг х 20","1060","95","2.45",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","АЛЕРГОЗАН ТАБЛ 25МГ Х 20","1852","100","3.62",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","АЛЕРГОЗАН КРЕМ 18ГР","1853","91","4.14",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","АЛЕРГОЗАН УНГВ 18 ГР","1854","91","4.17",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","АЛКА-ЗЕЛЦЕР ЕФ.ТАБЛ Х 10","1856","96","2.71",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","РУВЕКСИН ТАБЛ 325МГ Х 100","1911","96","3.07",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","БЕТАДИН СУПП 200МГ Х 14","1965","92","11.48",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","БИЗАЛАКС ТАБЛ 5МГ Х 30  Д","1977","88","2.25",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","БУСКОЛИЗИН АМП 2% 1МЛ СФ","2010","87","6.90",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ВОЛТАРЕН ЕМУЛГЕЛ 1.16 %  50 ГР.","2073","95","6.42",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ЙОДАСЕПТ УНГВ 90ГР ","2299","92","4.29",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","НИЗОРАЛ КРЕМ 15ГР","2562","90","2.05",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ОТИПАКС СОЛ 15 МЛ","2626","101","3.73",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ТЕМПАЛГИН ТАБЛ Х 20 СФ","2889","87","2.43",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ФАСТУМ ГЕЛ 50ГР","2973","94","4.55",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ФЕНОЛАКС ТАБЛ 5МГ Х 30","2984","88","1.59",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","ТАЛЦИД ТАБЛ 500МГ Х 20","3211","86","4.04",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","КСИЛОМЕТАЗОЛИН 0.1%","5254","97","2.25",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","АЦЕТИЗАЛ ТАБЛ 500МГ 2 Х 10","7538","96","1.33",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","АНАЛГИН ТАБЛ 500МГ 2 Х 10 СФ","7633","96","1.12",""
"68789","Хелиос гр. Дупница ул. Христо Ботев 15","БИЗАКОДИЛ СУП 10МГ Х 6","8051","88","2.85",""
