"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"65677","Хипермаркет Жанет","СИРЕНЕ БМК КРАВЕ ЩАНД КГ","2800018","8","4.03","0"
"65677","Хипермаркет Жанет","*ДОМАТ ЧЕРВЕН ПРОИЗХОД ГЪРЦИЯ КГ","2800139","54","1.76","0"
"65677","Хипермаркет Жанет","КРАСТАВИЦА ПРОИЗХОД ГЪРЦИЯ КГ","2800143","58","1.53","0"
"65677","Хипермаркет Жанет","МОРКОВ ПРОИЗХОД ТУРЦИЯ КГ","2800146","56","0.86","0"
"65677","Хипермаркет Жанет","ЗЕЛЕ ПРОИЗХОД БЪЛГАРИЯ КГ","2800147","57","0.71","0"
"65677","Хипермаркет Жанет","КАРТОФ ПРОИЗХОД БЪЛГАРИЯ КГ","2800154","61","0.86","0.65"
"65677","Хипермаркет Жанет","ЛИМОН ПРОИЗХОД ЮАР КГ","2800155","50","2.86","0"
"65677","Хипермаркет Жанет","БАНАН ПРОИЗХОД ЕКВАДОР КГ","2800156","52","1.99","0"
"65677","Хипермаркет Жанет","ПОРТОКАЛ ФРЕШ ПРОИЗХОД ГЪРЦИЯ КГ","2800158","51","1.82","0"
"65677","Хипермаркет Жанет","ЯБЪЛКА ШАРЕНА ПРОИЗХОД ИТАЛИЯ КГ","2800171","53","2.09","0"
"65677","Хипермаркет Жанет","ГЪБА ПРОИЗХОД ПОЛША КГ","2800175","60","4.27","0"
"65677","Хипермаркет Жанет","ЛУК КАБА ПРОИЗХОД АВСТРИЯ КГ","2800176","55","0.8","0"
"65677","Хипермаркет Жанет","ПИЛЕ ГРАДУС ОХЛ ТАР КГ","2800356","15","4.39","0"
"65677","Хипермаркет Жанет","ШПЕК ОРЕХИТЕ ГАСТРО КГ","2800649","28","14.77","0"
"65677","Хипермаркет Жанет","ШПЕК НАРОДЕН ГАСТРО КГ","2801168","28","9.86","0"
"65677","Хипермаркет Жанет","ШПЕК НАРОДЕН БУРГАС ГАСТРО КГ","2801625","28","9.86","0"
"65677","Хипермаркет Жанет","ШПЕК ОРЕХИТЕ БУРГАС ГАСТРО КГ","2801731","28","14.77","0"
"65677","Хипермаркет Жанет","ЧАЙ БИОПРОГРАМА СЕНА 20БРх1,5ГР","002655","72","0.82","0"
"65677","Хипермаркет Жанет","МАСЛИНИ КАЛИНА ЧЕРНИ В МАСЛИНОВО МАСЛО 201 - 260  ЩАНД КГ","2805000","62","4.55","0"
"65677","Хипермаркет Жанет","КАШКАВАЛ БЪЛГАРСКИ ЙОГУРТ КРАВЕ 250ГР","2805679","11","10.79","0"
"65677","Хипермаркет Жанет","ЛЮТЕНИЦА ТОДОРКА ТРАДИЦИОННА 575ГР","009372","49","2.58","0"
"65677","Хипермаркет Жанет","ДОМАТИ КАНАРЧЕ ЦЕЛИ НЕБЕЛЕНИ 680ГР","009389","48","0.78","0"
"65677","Хипермаркет Жанет","СКУМРИЯ 500+ КГ","2809512","29","6.13","0"
"65677","Хипермаркет Жанет","ГРАХ БОНДЮЕЛ 400 ГР","009545","47","2.34","0"
"65677","Хипермаркет Жанет","КАШКАВАЛ РОДОПЕЯ КРАВЕ ~ 500ГР","2834004","11","14.17","0"
"65677","Хипермаркет Жанет","МЛЯКО КИСЕЛО РОДОПЕЯ 2% 500ГР","034010","7","0.78","0"
"65677","Хипермаркет Жанет","МЛЯКО КИСЕЛО РОДОПЕЯ 3.6% 500ГР","034011","7","0.86","0"
"65677","Хипермаркет Жанет","МЛЯКО КИСЕЛО ВЕРЕЯ 2.9% 400ГР","055333","7","0.87","0"
"65677","Хипермаркет Жанет","СПАГЕТИ № 10 /  СТЕЛА 1КГ","056441","37","2.03","0"
"65677","Хипермаркет Жанет","МАКАРОНИ СТЕЛА ВИДЕС ФУСИЛИС  500ГР","056446","36","1.32","0"
"65677","Хипермаркет Жанет","СПАГЕТИ № 6 / СТЕЛА 1КГ","056450","37","2.03","0"
"65677","Хипермаркет Жанет","КРЕНВИРШ НАРОДЕН НАСИПЕН КГ","2857801","26","5.01","0"
"65677","Хипермаркет Жанет","КАШКАВАЛ БЪЛГАРСКИ ЙОГУРТ КРАВЕ ~500ГР","2857878","11","10.62","0"
"65677","Хипермаркет Жанет","КРЕНВИРШ ЛЕКИ НАСИПЕН КГ","2858010","26","6.6","0"
"65677","Хипермаркет Жанет","СПАГЕТИ СТЕЛА № 10 / 500ГР","058211","37","1.32","0"
"65677","Хипермаркет Жанет","КРОАСАН МИНИ 7ДЕЙС ШОКОЛАД 60ГР","058394","67","0.83","0"
"65677","Хипермаркет Жанет","КРОАСАН МИНИ 7ДЕЙС ВАНИЛИЯ 60ГР","058396","67","0.83","0"
"65677","Хипермаркет Жанет","КРОАСАН 7ДЕЙС МАКС КАКАО 92ГР ","058399","67","0.76","0"
"65677","Хипермаркет Жанет","КРОАСАН 7ДЕЙС МАКС БРЮЛЕ 92ГР ","058400","67","0.76","0"
"65677","Хипермаркет Жанет","ЧАЙ ГОЛДЪН ЛАЙЪН 25 Х 2ГР","058733","72","0.69","0"
"65677","Хипермаркет Жанет","ЧАЙ ГОЛДЪН ЛАЙЪН 50 Х 2ГР","058734","72","1.32","0"
"65677","Хипермаркет Жанет","ЧАЙ БИОПРОГРАМА МАТОЧИНА 20БРх1,5ГР","058742","72","0.65","0"
"65677","Хипермаркет Жанет","ЧАЙ БИОПРОГРАМА МАЩЕРКА 20БРх1,5ГР","058743","72","0.89","0"
"65677","Хипермаркет Жанет","ЧАЙ БИОПРОГРАМА ЧЕРЕН 20БРх1,5ГР","058746","72","0.7","0"
"65677","Хипермаркет Жанет","БОБ КРИНА ТРАДИЦИОНЕН 1КГ ","059089","33","3.11","0"
"65677","Хипермаркет Жанет","КОЛБАС ЧИЧОВЦИ ТЕЛЕШКИ 400ГР","059272","27","1.72","0"
"65677","Хипермаркет Жанет","САЛАМ ЧИЧОВЦИ СЕРВИЛАТ ВАК 300ГР","059273","28","2.57","0"
"65677","Хипермаркет Жанет","КОЛБАС ЧИЧОВЦИ ХАМБУРГСКИ 400ГР","059274","27","1.72","0"
"65677","Хипермаркет Жанет","КОЛБАС ЧИЧОВЦИ КАМЧИЯ 400ГР","059275","27","1.72","0"
"65677","Хипермаркет Жанет","САЛАМ БОНИ ЛУКАНКОВ МОЗАЙКА ВАК 290ГР","059322","28","3.88","0"
"65677","Хипермаркет Жанет","МАСЛИНИ КАЛИНА ЧЕРНИ БЕЗ КОСТИЛКА 101-110 ЩАНД КГ","2859540","62","7.51","0"
"65677","Хипермаркет Жанет","КРОАСАН ЧИПИКАО 60ГР","059663","67","0.83","0"
"65677","Хипермаркет Жанет","КОЛБАС КЕН КАМЧИЯ 350ГР","059670","27","2.3","0"
"65677","Хипермаркет Жанет","СПАГЕТИ СТЕЛА № 6 / 500ГР","059699","37","1.32","0"
"65677","Хипермаркет Жанет","ЛЮТЕНИЦА ДЕРОНИ СТАРОСЕЛСКА ЕДРОСМЛЯНА 520ГР","059701","49","4.64","0"
"65677","Хипермаркет Жанет","ШПЕК БОНИ СУХ 220ГР","059842","28","2.82","0"
"65677","Хипермаркет Жанет","МАКАРОНИ СТЕЛА АСТРАКИ 500ГР","059905","36","1.32","0"
"65677","Хипермаркет Жанет","МАКАРОНИ СТЕЛА ПЕНЕ 500ГР","059907","36","1.32","0"
"65677","Хипермаркет Жанет","ЛЮТЕНИЦА ВЕЛИКА ДОМАШНА ЕДРОСМЛЯНА 515ГР","066990","49","5.68","0"
