"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","CHERRY MARKET","ДБ КВАНТУМ МЕРЛО 0,750","155","76","5.11",""
"10447","CHERRY MARKET","ДБ КВАНТУМ СОВ.БЛАН 0,750","157","75","5.29",""
"10447","CHERRY MARKET","БРАТЯ МИНКОВИ ЧЕРВЕНО КЮВЕ 0,750","161","76","9.20",""
"10447","CHERRY MARKET","ВИЛА МАРИЯ СОВ.БЛАН 0,750","235","75","17.79",""
"10447","CHERRY MARKET","ЛАВАЦА СУПЕР КРЕМА 1КГ","255","71","28.63",""
"10447","CHERRY MARKET","ЯМБОЛСКА ГРОЗДОВА РАКИЯ 0.700","263","77","7.22",""
"10447","CHERRY MARKET","КОРСЕТ КОРАЛ","268","78","2.86",""
"10447","CHERRY MARKET","КОРСЕТ ЧЕРНА ТАБАКЕРА BLACK PEARL","269","78","3.22",""
"10447","CHERRY MARKET","ЛОЗОВА РАКИЯ ТИКВЕШ 0,700","358","77","16.49",""
"10447","CHERRY MARKET","МЕРИЛИН ПИНК СЛИМС","545","78","3.35",""
"10447","CHERRY MARKET","МЕРИЛИН СЛИМ СИН","546","78","3.35",""
"10447","CHERRY MARKET","КИНГ X CUT RED","548","78","3.17",""
"10447","CHERRY MARKET","КИНГ CORE RED 100","553","78","3.07",""
"10447","CHERRY MARKET","КИНГ ЧЕРВЕН 84ММ","559","78","2.81",""
"10447","CHERRY MARKET","АЕ ЕЙНДЖЪЛ ШАРДОНЕ 0,75","563","75","6.89",""
"10447","CHERRY MARKET","КОРСЕТ ЛИЛАВ","568","78","3.07",""
"10447","CHERRY MARKET","КИНГ ОНИКС РЕД 84ММ","571","78","2.30",""
"10447","CHERRY MARKET","КИНГ ОНИКС 84 СИН","572","78","2.30",""
"10447","CHERRY MARKET","ЛАВАЦА КРЕМА Е ГУСТО 250 ГР","576","70","6.64",""
"10447","CHERRY MARKET","ЛАВАЦА ЕСПРЕСО 250ГР","579","70","8.02",""
"10447","CHERRY MARKET","ЛАВАЦА ОРО 250 ГР. МЛЯНО","580","70","7.66",""
"10447","CHERRY MARKET","ЛАВАЦА РОСА 250 ГР.","581","70","7.87",""
